native_author,native_creator,datetime,d_release,Year,Month,Day,event_url,row_type,weight,Event_object_native_name
304,427,"2007-09-26 10:45:40",2.2,2007,9,26,f48e7b1b-c0a8-0169-2a8c-eeea8c8b5fe1,0,0.0104582003136199,"[regression] ""Copy Context to..."" doesn't seem to work"
304,304,"2007-09-26 10:45:40",2.2,2007,9,26,f48e7b1b-c0a8-0169-2a8c-eeea8c8b5fe1,1,0.0112587265688623,"[regression] ""Copy Context to..."" doesn't seem to work"
304,116,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,0,0.00282639190944608,"[Package Explorer] ""Link with Editor"" state not saved"
304,240,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00284910077183838,"[Package Explorer] ""Link with Editor"" state not saved"
304,116,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00285755047104531,"[Package Explorer] ""Link with Editor"" state not saved"
304,369,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00294200180418819,"[Package Explorer] ""Link with Editor"" state not saved"
304,304,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00300602360309188,"[Package Explorer] ""Link with Editor"" state not saved"
304,458,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00661619273092852,"[Package Explorer] ""Link with Editor"" state not saved"
304,287,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00962754465267972,"[Package Explorer] ""Link with Editor"" state not saved"
304,143,"2007-09-26 11:12:32",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.0311357704542607,"[Package Explorer] ""Link with Editor"" state not saved"
304,391,"2007-09-26 11:46:52",2.2,2007,9,26,f48c61f1-c0a8-0169-2a8c-eeeabef5c6be,0,0.00757803488784985,"add collapse all button to comments section of task editor"
304,391,"2007-09-26 11:46:52",2.2,2007,9,26,f48c61f1-c0a8-0169-2a8c-eeeabef5c6be,1,0.00758070039440004,"add collapse all button to comments section of task editor"
304,304,"2007-09-26 11:46:52",2.2,2007,9,26,f48c61f1-c0a8-0169-2a8c-eeeabef5c6be,1,0.010714135125937,"add collapse all button to comments section of task editor"
304,373,"2007-09-26 11:46:52",2.2,2007,9,26,f48c61f1-c0a8-0169-2a8c-eeeabef5c6be,1,0.0350236823150226,"add collapse all button to comments section of task editor"
304,143,"2007-09-26 11:46:52",2.2,2007,9,26,f48c61f1-c0a8-0169-2a8c-eeeabef5c6be,1,0.0371018186052951,"add collapse all button to comments section of task editor"
373,373,"2007-09-26 12:58:51",2.2,2007,9,26,f48e8c76-c0a8-0169-2a8c-eeea5c03a0eb,0,0.99,"Mark as landmark key sequence not working in java source editor"
373,373,"2007-09-26 13:43:47",2.2,2007,9,26,f48e8df1-c0a8-0169-2a8c-eeea7dfc60a2,0,0.99,"Drop of context onto task not working from context zip file"
304,212,"2007-09-26 13:53:10",2.2,2007,9,26,f489d52e-c0a8-0169-2a8c-eeead377bf61,0,0.0029536188744758,"support import/export of local tasks"
304,212,"2007-09-26 13:53:10",2.2,2007,9,26,f489d52e-c0a8-0169-2a8c-eeead377bf61,1,0.00331216695932141,"support import/export of local tasks"
304,143,"2007-09-26 13:53:10",2.2,2007,9,26,f489d52e-c0a8-0169-2a8c-eeead377bf61,1,0.0033132426212382,"support import/export of local tasks"
304,304,"2007-09-26 13:53:10",2.2,2007,9,26,f489d52e-c0a8-0169-2a8c-eeead377bf61,1,0.00333628479374901,"support import/export of local tasks"
304,373,"2007-09-26 13:53:10",2.2,2007,9,26,f489d52e-c0a8-0169-2a8c-eeead377bf61,1,0.00381116114090758,"support import/export of local tasks"
304,148,"2007-09-26 14:29:30",2.2,2007,9,26,f489c9f4-c0a8-0169-2a8c-eeeaafb9cf15,0,0.00288504699981043,"warn user about close being mapped to ""remove from context"" on first editor close"
304,143,"2007-09-26 14:29:30",2.2,2007,9,26,f489c9f4-c0a8-0169-2a8c-eeeaafb9cf15,1,0.00288537782361496,"warn user about close being mapped to ""remove from context"" on first editor close"
304,148,"2007-09-26 14:29:30",2.2,2007,9,26,f489c9f4-c0a8-0169-2a8c-eeeaafb9cf15,1,0.00288542684422851,"warn user about close being mapped to ""remove from context"" on first editor close"
304,304,"2007-09-26 14:29:30",2.2,2007,9,26,f489c9f4-c0a8-0169-2a8c-eeeaafb9cf15,1,0.00288678816370362,"warn user about close being mapped to ""remove from context"" on first editor close"
373,427,"2007-09-26 14:34:08",2.2,2007,9,26,f48e7b1b-c0a8-0169-2a8c-eeea8c8b5fe1,0,0.0103276394747527,"[regression] ""Copy Context to..."" doesn't seem to work"
373,304,"2007-09-26 14:34:08",2.2,2007,9,26,f48e7b1b-c0a8-0169-2a8c-eeea8c8b5fe1,1,0.011095615092781,"[regression] ""Copy Context to..."" doesn't seem to work"
373,373,"2007-09-26 14:34:18",2.2,2007,9,26,f48e7b1b-c0a8-0169-2a8c-eeea8c8b5fe1,1,0.99,"[regression] ""Copy Context to..."" doesn't seem to work"
373,373,"2007-09-26 15:32:35",2.2,2007,9,26,f48e8fef-c0a8-0169-2a8c-eeeaa4712e2c,0,0.99,"Child tasks of completed will not show in query when in unfocused mode"
304,304,"2007-09-26 16:18:32",2.2,2007,9,26,f487b28f-c0a8-0169-2a8c-eeeac9b7d5cb,0,0.00171256441881611,"manage Mylyn participation in Europa"
304,304,"2007-09-26 16:18:32",2.2,2007,9,26,f487b28f-c0a8-0169-2a8c-eeeac9b7d5cb,1,0.00174019019768231,"manage Mylyn participation in Europa"
304,329,"2007-09-26 16:18:32",2.2,2007,9,26,f487b28f-c0a8-0169-2a8c-eeeac9b7d5cb,1,0.0017472659079719,"manage Mylyn participation in Europa"
304,135,"2007-09-26 16:18:32",2.2,2007,9,26,f487b28f-c0a8-0169-2a8c-eeeac9b7d5cb,1,0.00255526630718409,"manage Mylyn participation in Europa"
304,47,"2007-09-26 16:18:32",2.2,2007,9,26,f487b28f-c0a8-0169-2a8c-eeeac9b7d5cb,1,0.00255699590420901,"manage Mylyn participation in Europa"
143,116,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,0,0.00282281644513539,"[Package Explorer] ""Link with Editor"" state not saved"
143,240,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00284542679039349,"[Package Explorer] ""Link with Editor"" state not saved"
143,116,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00285385560437717,"[Package Explorer] ""Link with Editor"" state not saved"
143,369,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00293797003791239,"[Package Explorer] ""Link with Editor"" state not saved"
143,304,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00300172324673869,"[Package Explorer] ""Link with Editor"" state not saved"
143,458,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00657071605700506,"[Package Explorer] ""Link with Editor"" state not saved"
143,287,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.00948857576236617,"[Package Explorer] ""Link with Editor"" state not saved"
143,143,"2007-09-26 16:23:58",2.2,2007,9,26,f4898623-c0a8-0169-2a8c-eeea3a0dc7c4,1,0.0272179412617966,"[Package Explorer] ""Link with Editor"" state not saved"
373,373,"2007-09-26 16:58:30",2.2,2007,9,26,f487b4ab-c0a8-0169-2a8c-eeea3a66d6cf,0,0.00171644932607244,"Make parsed post success string/regexp a preference"
373,373,"2007-09-26 16:58:30",2.2,2007,9,26,f487b4ab-c0a8-0169-2a8c-eeea3a66d6cf,1,0.00273338861583969,"Make parsed post success string/regexp a preference"
373,159,"2007-09-26 16:58:30",2.2,2007,9,26,f487b4ab-c0a8-0169-2a8c-eeea3a66d6cf,1,0.00787601711333973,"Make parsed post success string/regexp a preference"
373,304,"2007-09-26 16:58:30",2.2,2007,9,26,f487b4ab-c0a8-0169-2a8c-eeea3a66d6cf,1,0.00879279503107334,"Make parsed post success string/regexp a preference"
304,143,"2007-09-26 17:30:38",2.2,2007,9,26,f48e77e2-c0a8-0169-2a8c-eeeacd0c14d8,0,0.0100952106748299,"improve order of the actions icons in the task editor"
258,399,"2007-09-26 17:53:24",2.2,2007,9,26,f48e8c0d-c0a8-0169-2a8c-eeea5efae2bb,0,0.0250252268886952,"[linux] filename for task/query export does not have extension"
258,399,"2007-09-26 17:53:24",2.2,2007,9,26,f48e8c0d-c0a8-0169-2a8c-eeea5efae2bb,1,0.0250332260024966,"[linux] filename for task/query export does not have extension"
258,143,"2007-09-26 17:53:24",2.2,2007,9,26,f48e8c0d-c0a8-0169-2a8c-eeea5efae2bb,1,0.0254937970299179,"[linux] filename for task/query export does not have extension"
258,258,"2007-09-26 17:53:26",2.2,2007,9,26,f48e8c0d-c0a8-0169-2a8c-eeea5efae2bb,1,0.99,"[linux] filename for task/query export does not have extension"
304,304,"2007-09-26 18:06:24",2.2,2007,9,26,f48e91e6-c0a8-0169-2a8c-eeeabb06ccd9,0,0.99,"[web connector] tasks not scheduled or unread fail to disappear when in Focused mode"
304,89,"2007-09-26 18:10:58",2.2,2007,9,26,f48a93e9-c0a8-0169-2a8c-eeea2bab0fb9,0,0.00322248278965427,"disable manual filters when there is text in the Find box"
304,304,"2007-09-26 18:10:58",2.2,2007,9,26,f48a93e9-c0a8-0169-2a8c-eeea2bab0fb9,1,0.00324245275792368,"disable manual filters when there is text in the Find box"
304,143,"2007-09-26 18:10:58",2.2,2007,9,26,f48a93e9-c0a8-0169-2a8c-eeea2bab0fb9,1,0.00324252232352673,"disable manual filters when there is text in the Find box"
