asource	atarget	count(*)
10	143	3
10	159	2
10	304	3
13	373	10
14	159	1
24	399	12
25	173	1
30	304	1
33	159	3
34	159	2
34	373	4
34	399	1
35	35	3
42	399	2
45	399	3
54	304	1
60	373	1
65	391	1
68	143	2
68	159	2
68	304	6
71	399	2
84	399	1
89	159	1
89	373	6
89	399	2
98	143	4
102	399	2
104	399	1
108	391	1
108	399	2
112	304	2
116	304	3
118	399	16
120	304	1
122	373	1
126	196	1
131	391	3
132	304	3
132	373	6
133	304	1
133	373	2
134	159	1
141	304	1
143	1	1
143	35	7
143	143	107
143	159	19
143	164	2
143	173	3
143	212	11
143	216	4
143	258	2
143	295	2
143	304	42
143	310	4
143	323	1
143	367	6
143	373	50
143	391	11
143	399	81
143	410	4
143	457	5
143	463	8
148	304	5
149	143	4
150	173	1
159	159	25
159	304	2
159	310	1
159	373	2
164	164	3
168	304	1
172	304	2
173	173	2
178	173	1
181	304	2
185	173	2
188	399	5
194	194	3
195	373	5
205	304	3
212	212	21
212	323	1
219	304	2
220	143	2
221	143	3
226	373	9
236	304	1
238	238	2
240	304	4
241	35	1
248	173	4
258	159	1
258	258	3
258	304	1
258	410	1
266	173	2
267	399	3
268	143	1
272	399	1
275	143	7
276	143	1
276	304	3
276	373	2
278	304	1
282	143	3
283	304	3
284	143	9
287	304	1
287	373	2
288	143	1
288	367	1
293	159	1
295	295	1
299	304	1
302	463	1
304	1	1
304	35	9
304	143	39
304	159	20
304	173	14
304	194	1
304	196	1
304	212	14
304	216	5
304	258	2
304	295	1
304	304	89
304	310	4
304	323	3
304	367	3
304	373	54
304	391	24
304	399	52
304	410	8
304	430	2
304	457	10
304	463	1
308	328	1
310	159	1
310	304	3
310	310	18
316	143	1
316	399	3
317	304	1
319	173	37
319	373	2
328	328	1
330	373	1
333	304	1
333	373	1
339	304	1
352	143	1
357	399	1
364	399	2
365	304	2
367	159	2
367	304	3
367	323	1
367	367	11
367	399	3
369	304	1
369	430	1
373	35	7
373	143	27
373	159	27
373	164	5
373	173	9
373	212	10
373	258	2
373	295	1
373	304	11
373	310	5
373	323	3
373	328	5
373	367	13
373	373	128
373	391	18
373	399	8
373	457	1
373	463	8
384	143	1
391	159	1
391	258	2
391	304	4
391	373	7
391	391	23
391	410	1
396	399	2
399	1	6
399	143	18
399	173	3
399	216	1
399	258	1
399	304	11
399	323	2
399	373	19
399	399	101
399	410	6
399	457	1
399	463	32
410	143	1
410	304	1
410	410	2
427	373	1
430	430	1
433	399	1
434	304	2
442	159	1
443	373	1
451	212	2
451	304	4
451	373	1
451	391	1
457	143	1
457	304	2
457	373	3
457	399	2
457	430	1
457	457	9
458	304	1
463	304	1
463	399	1
463	463	28
