node,degree,output
 10,  1,  1
 19,  1,  1
 23,  1,  1
 33,  1,  1
 34,  1,  1
 40,  1,  2
 42,  1,  4
 43,  1,  1
 56,  1, 12
 61,  1,  1
 66,  1,  1
 68,  3,  4
 89,  2, 16
 94,  1,  1
 97,  1,  1
 98,  3, 11
102,  1,  1
108,  2,  5
112,  1,  2
114,  3,  4
117,  1,  3
129,  1,  4
130,  1,  2
132,  1,  1
133,  2,  3
143, 15,308
148,  1,  1
159,  2,  2
164,  1,  1
170,  1,  1
173,  1,  1
175,  1,  3
181,  1,  3
182,  1,  3
187,  1,  1
188,  1,  1
202,  1,  2
212,  1,  3
233,  1, 10
235,  1,  4
238,  1,  2
244,  1,  1
245,  1,  1
249,  1,  1
258,  3,  6
267,  1,  3
270,  1,  2
275,  1,  3
276,  3,  9
287,  1,  7
301,  3,  4
304, 17,283
310,  5, 36
319,  1,  2
328,  1,  3
331,  1,  2
367,  1,  1
368,  1,  2
369,  1,  2
373, 10,143
376,  1,  1
389,  1,  1
391,  5, 30
399, 16,106
415,  1,  1
420,  1,  1
425,  1,  7
427,  2,  4
449,  1,  2
457,  7, 33
