"","Var1","Freq"
"1","  HTC Peep",55
"2"," Ovi by Nokia ",1
"3","?UberSocial",4
"4","?UberSocial for BlackBerry",210
"5","?UberSocial for iPhone",13
"6","@freejoe76",1
"7","A.plus for BlackBerry",2
"8","Adium",2
"9","AIM",3
"10","AOL Lifestream",1
"11","Azurea",2
"12","B.A.G | Sidechirp",3
"13","Bad Kitty",4
"14","Blip.fm",1
"15","Brizzly",2
"16","Camera on iOS",1
"17","CoTweet",24
"18","Dabr",2
"19","Digsby",2
"20","dlvr.it",2
"21","DROID",8
"22","dronemeApp",3
"23","Echofon",490
"24","embr",1
"25","Facebook",270
"26","FanBridge",3
"27","Favstar.FM",7
"28","FireStatus",1
"29","Flipboard",3
"30","GetGlue.com",2
"31","Graphite for webOS",2
"32","Gravity",2
"33","Gravity!",1
"34","HootBar",1
"35","HootSuite",643
"36","Hotot",2
"37","HTC Peep",1
"38","IM+",3
"39","instagram",1
"40","Itsy!",2
"41","LG Phone",3
"42","MetroTwit",2
"43","Mobile Web",179
"44","motoblur",1
"45","Nambu",5
"46","Netvibes official widget",1
"47","NewsForward for BlackBerry",4
"48","Osfoora for iPhone",13
"49","Osfoora HD",5
"50","Panoramic moTweets",6
"51","phnx",1
"52","phnx beta",1
"53","Ping.fm",2
"54","pingfm-custom-url",2
"55","Plume??",75
"56","Power Twitter",6
"57","props.org",1
"58","Qwitter 5",1
"59","RockMelt",7
"60","RTR.org Social Network",5
"61","Safari on iOS",2
"62","Samsung Mobile",1
"63","Seesmic",154
"64","Seesmic twhirl",24
"65","SharedMinds Desktop",5
"66","Silver Bird",12
"67","SimplyTweet",2
"68","Social Beat",1
"69","SocialFlow",9
"70","Socially Mobile",1
"71","SocialScope",13
"72","Spaz",1
"73","Spaz HD for webOS",4
"74","Sulia",26
"75","Syrinx",1
"76","Tower Heist Takeover, BlackBerry",1
"77","TrendsBOT",1
"78","Trillian",1
"79","Tumblr",1
"80","Tweed webOS",8
"81","Tweet Button",13
"82","Tweet from Nokia N9",2
"83","Tweet Posts Atsentinel",1
"84","Tweetbot for iPhone",43
"85","TweetCaster",3
"86","TweetCaster for Android",163
"87","TweetCaster for iOS",19
"88","TweetChat",10
"89","TweetDeck",3600
"90","Tweetie for Mac",33
"91","Tweetings HD",1
"92","TweetList Pro",25
"93","TweetList!",1
"94","Tweetlogix",5
"95","TweetMeme",1
"96","twicca",23
"97","twidroyd",1
"98","Twidroyd for Android",10
"99","TwidroydPRO",5
"100","Twimbow",1
"101","TwitBird",5
"102","TwitBird iPad",2
"103","Twitbit for iPhone",1
"104","TwitLonger Beta",2
"105","TwitPal",3
"106","Twittelator",31
"107","Twitter for  iPhone",1
"108","Twitter for Android",590
"109","Twitter for BlackBerry?",607
"110","Twitter for Google TV",1
"111","Twitter for iPad",650
"112","Twitter for iPhone",2217
"113","Twitter for Mac",304
"114","Twitter for Windows Phone",11
"115","twitterfeed",5
"116","Twitterrific",143
"117","Twitterrific for Mac",10
"118","Twitum for PSP",1
"119","txt",155
"120","Ubuntu",1
"121","UUberSocial for Android",28
"122","VIERA CAST",3
"123","web",8796
"124","Write Longer",1
"125","Xbox",2
"126","yoono",5
"127","Yoono for iPhone",1
"128","YoruFukurou",25
"129","YouTube on iOS",1
