"source","target"
"CGD0027","TweetDeck"
"FloridaRogue","TweetDeck"
"StephenDGH","Twitter for iPhone"
"Lady_Patriot","TweetDeck"
"Profit4eva","web"
"praneethkarkera"," Ovi by Nokia "
"MimoCT","web"
"joerut","Facebook"
"Granite_Pundit","TweetDeck"
"whitnuld","web"
"JoeMyGod","TweetDeck"
"wriemer","Twitter for iPhone"
"marcslove","Echofon"
"TuffLikeHuff","HootSuite"
"mrrozelle","web"
"dougusa1","Twitter for Google TV"
"MatStaver","Twitter for iPhone"
"Chandler1012","web"
"trishrothgeb","TweetDeck"
"ARCHAIC_SOUL","web"
"brizoni","web"
"Gkelly20","web"
"jacqui","Twitter for Mac"
"SeldomSeen52","Twitter for iPhone"
"jjb4430","web"
"OldNorthState12","Twitter for iPad"
"oxfordgirl","TweetDeck"
"LeviMargolin","web"
"katlyngrass","Twitter for iPhone"
"diggaduh","web"
"AdvRah","Twitter for BlackBerry?"
"gregashaw","Twitter for Android"
"trends_ww_bot","TrendsBOT"
"DaveMontero","web"
"PrisonReformMvt","TweetDeck"
"MickiisaCainiac","Twitter for iPhone"
"AndrewMeggison","Twitter for iPhone"
"asher2789","web"
"marymdouglas","web"
"diggaduh","web"
"Dan_Treadway","web"
"RespiRich","Twitter for iPhone"
"normalespoir","web"
"mymanhenri","Twitter for BlackBerry?"
"bassmaster12","web"
"ryanfinnegan","web"
"chrisgolden","TweetDeck"
"cupmancmh","web"
"EWErickson","Twitter for iPhone"
"CeasarAugustusP","TweetDeck"
"__sweetheartIAm","web"
"bethanyshondark","HootSuite"
"eviljessi","web"
"tshoes","TweetDeck"
"illuminancy","Twitter for iPad"
"teresamccarthy","web"
"colonialdude","TweetDeck"
"kathleenfsams","web"
"GaltsGirl","TweetDeck"
"La_La_LaToya","Twitter for BlackBerry?"
"teenagepundit","web"
"hafsamohamed1","Twitter for iPhone"
"kristenpadilla","Twitter for iPhone"
"WayneASchneider","web"
"GYoungJr","Twitter for iPhone"
"Quintien","Twitter for iPhone"
"TheRightDuff","TweetDeck"
"YvonneArnoldCRS","?UberSocial for BlackBerry"
"Mrs_B_Mars","HootSuite"
"AllanNorton8901","web"
"sallyeastman1","web"
"sheenFeighteen","Twitter for Android"
"quintoCT","TweetDeck"
"curiouscliche","TweetDeck"
"mrmikeshelton","TweetDeck"
"phnixT","Twitter for iPhone"
"NicCappon","Twitter for iPad"
"Un_FollowMe","Twitter for iPhone"
"rcengelsman","TweetDeck"
"HinesJimmy","web"
"Lemming_Watcher","TweetDeck"
"leftnode","?UberSocial for BlackBerry"
"sleepwalkas","web"
"TheChurl","Twitter for BlackBerry?"
"kathryndelong","web"
"SNOOPaLUPE","web"
"JonLundbom","web"
"DUhockeyFan","TweetDeck"
"DavidMDrucker","TweetDeck"
"jedbook","web"
"ChrisBoese","web"
"KatrinaPierson","web"
"BarryDonegan","web"
"AngusCarruthers","web"
"lheal","TweetDeck"
"JoeMenifeee","web"
"SlaughterAM","web"
"nfanyc","Twitter for iPhone"
"ginalou","TweetDeck"
"NestofViperss","web"
"chaosnat","Twitter for Mac"
"Lbrty77","TweetDeck"
"SamCarlsruh","web"
"Vampire1812","web"
"LLStarks","web"
"LadyCharP","web"
"JoseSnillums","web"
"tmoorepr","web"
"david_shane","TweetDeck"
"AshleyRParker","TweetDeck"
"afc33125","web"
"MichaelCPriest","web"
"Korlis","web"
"GarrettQuinn","Twitter for Android"
"jonward11","TweetDeck"
"garryhornbuckle","HootSuite"
"VitiViniVino","Twitter for iPhone"
"misosorry","Twitter for iPad"
"dankennedy_nu","Seesmic"
"GaffeGirl","web"
"JohnPMorgan","Twitter for iPhone"
"FNBSMEDIA_com","web"
"Khaula","web"
"SpencerIrvine","Twitter for iPhone"
"keithboykin","Twitter for iPhone"
"Evan_Thompson","web"
"gwbertsch","TweetDeck"
"appraso","HootSuite"
"Princessalycia7","TweetCaster for Android"
"sarahblackstock","TweetDeck"
"BYUPolitics","web"
"scoopercooper","web"
"ShaedM","web"
"oOPlayHouseOo","web"
"unreelsound","Twitter for iPhone"
"SaveOn1017","Twitter for iPhone"
"liam_munro","web"
"OutofNH","web"
"MurnPost","TweetDeck"
"joerut","Facebook"
"Nix0996","web"
"kkondik","web"
"kellymoses1","Twitter for iPad"
"Mr_Gman1026","Twitter for BlackBerry?"
"steve_dare_me","web"
"AJogee","web"
"StuNeff","Seesmic"
"ericessagof","web"
"dustincarmack","Twitter for BlackBerry?"
"APBBlue","TweetDeck"
"TH3Freedom","TweetDeck"
"StephenBabe","HootSuite"
"Lkbleu","Echofon"
"owillis","web"
"RionVI","web"
"The_NeoKong","web"
"kingcherub","TweetDeck"
"AmericaNeedsMR","web"
"You_Beastin","TweetDeck"
"jakesully49","Twitter for iPhone"
"WilliamHartung","web"
"AScreamingBird","web"
"TPGee","Twitter for iPhone"
"PurcellforGA","Echofon"
"Veribatim","TweetDeck"
"arra","TweetDeck"
"lookupfolks","TweetDeck"
"jasonthealaskan","TweetDeck"
"RichardFantin","web"
"zaswadosaze","web"
"Rodney_CBSNJ","Twitter for iPhone"
"rdvnyc","Twitter for iPhone"
"BridgetCusick","web"
"catsandtea","Twitter for Android"
"JedediahBila","HootSuite"
"monkeyofdarknes","Twitter for iPhone"
"joeventures","Twitter for iPhone"
"dennisATTACKS","txt"
"FloridaRogue","web"
"lynnkcarey","web"
"TheReidReport","Twitter for BlackBerry?"
"evaottesmith","Twitter for iPhone"
"alycechan","Twitter for iPhone"
"jcmshieldmaiden","web"
"Beregond","TweetDeck"
"MyrnaTheMinx","TweetDeck"
"tonyalmq","web"
"alejandrinio16","Twitter for BlackBerry?"
"ljstephenson","web"
"joshbranson","TweetDeck"
"Tori_Lennox","TweetDeck"
"jermajesty_tff","Twitter for iPhone"
"Piercedmorgan","Twitter for iPhone"
"trvlcam17","Twitter for iPad"
"ritaag","Twitter for iPhone"
"joyomama","Twitterrific"
"thelovelytruth","Twitter for iPhone"
"_zomg","web"
"PhatCharlie1","TweetDeck"
"davesmith3","web"
"rkrishnakumar","web"
"USPassenger","web"
"ashong","TweetDeck"
"MegE_N","TweetDeck"
"Occupyurmind","Twitter for iPhone"
"chaostar13","web"
"hollabingbang","TweetDeck"
"metalrafferty","web"
"TuffLikeHuff","HootSuite"
