"","x"
"cnndebate",18735
"gopdebate",880
"tcot",855
"gop",572
"ronpaul",359
"cnndebate.",263
"hannity",245
"tweetthepress",241
"teaparty",152
"p2",148
"",131
"gop2012",116
"syria",116
"cnndebate,",110
"ronpaul2012",104
"nhdebatewatch",102
"tlot",89
"perry",84
"cartoonvillains",77
"ows",73
"warondrugs",70
"romney",65
"fail",64
"huntsman",64
"teabate",63
"iran",61
"cain",53
"cnndebate:",52
"cnndebate&quot;",52
"hermancain",49
"cnn",47
"china",44
"teacyber",43
"cnndebate?",41
"israel",41
"ronpaul:",40
"newt",39
"mittromney",37
"santorum",36
"heritage",35
"gopdebatequestion",33
"rickperry",33
"ocra",30
"1",27
"2:",25
"obama",25
"sunlive",23
"mitt2012",22
"tahrir",22
"cnnpostgame",21
"jon2012",21
"teapartynation",21
"bachmann",20
"fb",20
"immigration",20
"cnndebate!",19
"gingrich",18
"israel.",18
"nwr",18
"redeye",18
"somalia",18
"arabspring",16
"cnndebate...",16
"occupy",16
"thatllwork",16
"bflgobble",15
"gopdebate.",15
"egypt",14
"perry:",14
"dwts",13
"iraq",13
"jonhuntsman",13
"ronpaulaloon",13
"syria.",13
"withnewt",13
"xfactor",13
"2012gop",12
"cnne",12
"headdesk",12
"iacaucus",12
"newtgingrich",12
"sgp",12
"topprog",12
"tpp",12
"cain,",11
"citizencain",11
"huntsman2012",11
"libya",11
"perry2012",11
"aei",10
"afghanistan",10
"bovert",10
"cnngopdebate",10
"fitn",10
"hermancain.",10
"jovert",10
"romney:",10
"thehermancain",10
"win",10
"zovert",10
"africa",9
"cain:",9
"china,",9
"ihavelowstandards",9
"imjustsayin",9
"paul",9
"republican",9
"vote4energy",9
"wtf",9
"cain2012",8
"cnndebate)",8
"evilgopbastards",8
"fingerscrossed",8
"hhrs",8
"huntsman:",8
"loldebate",8
"nsdebate",8
"obvs",8
"republicans",8
"smh",8
"teamsantorum,",8
"twitternewschat",8
"999",7
"americans",7
"asknyt",7
"debate",7
"dreamact",7
"justsayin",7
"mexico",7
"only",7
"ophorizon",7
"poem",7
"ricksantorum",7
"usa",7
"winning",7
"wiright",7
"bachmann:",6
"bestmoment",6
"caintrain",6
"cnndebate-",6
"constitution",6
"crazytown",6
"credits",6
"drink",6
"facepalm",6
"flipflop",6
"gop12",6
"gopfail",6
"jobs",6
"loweredexpectations",6
"occupywallstreet",6
"opdx",6
"pakistan",6
"politics",6
"saberrattling",6
"sigh",6
"taliban",6
"teamsantorum",6
"ties",6
"twitter",6
"wholebottleoftequila",6
"912",5
"dem",5
"dreamact.",5
"emp",5
"factcheckplease",5
"forthood",5
"foundationofpaulfopo",5
"idiots",5
"immigrants",5
"iran.",5
"liberty",5
"mindblown",5
"mitt",5
"noflyzone",5
"oops",5
"paul:",5
"president",5
"ronpaul,",5
"syria,",5
"walkback",5
"arabicfailnailsonchalkboard",4
"assad",4
"blackthisout",4
"cain.",4
"china.",4
"cnndebate....",4
"cnndebate//",4
"cnndebate1",4
"cnndebate2",4
"communist",4
"decision2012",4
"drugs",4
"election",4
"endthewars",4
"energy",4
"fastandfurious",4
"foreignpolicy",4
"gop,",4
"gop2012-",4
"gopclowncar",4
"goplies",4
"herman",4
"hermancain,",4
"hezbollah's",4
"huntsman.",4
"ironic",4
"israel?",4
"klutelive",4
"michelebachmann",4
"morehairpullingplease",4
"nationalsecurity",4
"nfz",4
"obama's",4
"obama2012",4
"old",4
"rick",4
"rickperry,",4
"ron",4
"ronpaul.",4
"ronpaul's",4
"sad",4
"snl",4
"socialism",4
"thanksgiving",4
"thisisteann",4
"truth",4
"tweethepress",4
"unemployed",4
"warcriminal",4
"wolfblitzer",4
"yasalaam",4
"yeshesaidit",4
"2012",3
"911truth",3
"999.",3
"agree",3
"america",3
"americanexceptionalism",3
"anmesty",3
"apple",3
"bachman,",3
"batshit,",3
"battingeyelashes",3
"blitz",3
"cainfail",3
"comedy",3
"comicbooks",3
"commonsense",3
"crnc",3
"debatewatch",3
"debt",3
"dems",3
"doingitwrong",3
"done",3
"durrr",3
"election2012",3
"epicfail",3
"eurozone",3
"excited",3
"fakedebatetweets",3
"feargasm",3
"flyoverwar",3
"foreign",3
"foreignaid",3
"freedom",3
"gingrich.",3
"goodforalaugh",3
"gopdebate?",3
"govperry",3
"hair",3
"hashtag",3
"hezbollah",3
"hindenburg",3
"huntsman,",3
"iconservative",3
"idea!",3
"idiot",3
"immigrationreform",3
"inmigracion?",3
"israel,",3
"justsaying",3
"latism",3
"libertarian",3
"lonely",3
"michellebachmann",3
"middleeast",3
"misssouthcarolina",3
"mw3",3
"nh",3
"nooil",3
"obama!",3
"obamaisntworking",3
"ohtheirony",3
"pantsonfire",3
"prolife",3
"qcpolusa",3
"republicanthoughts",3
"rickperry...",3
"rickperryisdumb",3
"rp2012",3
"santorum:",3
"sarcasm",3
"sc",3
"seriously",3
"shrewd",3
"steve_gates",3
"stfu",3
"supercommittee",3
"syria?",3
"tech",3
"themoreyouknow",3
"twisters",3
"unemployed.",3
"us",3
"whatpartyisronpaul?",3
"whichmitt",3
"wolf",3
"wolfowitz",3
"yesimcynical",3
"#cnndebate",2
"1!",2
"5hourlunchperiod.",2
"911",2
"abortion",2
"addington",2
"afghanistan,",2
"al",2
"alieninvasion",2
"alqaeda",2
"amen",2
"america.",2
"anonymous",2
"army",2
"ashheapofhistory",2
"auntmo",2
"bachman",2
"balloonboy",2
"beer",2
"bestinformedcandidate",2
"biggestconcern",2
"bingo",2
"boom",2
"bullshit",2
"cainwatch",2
"cainwreck",2
"callofduty",2
"changewecannotbelievein",2
"chinathreat",2
"cirqueduassoleil",2
"cnndebate--i'm",2
"cnndebate??",2
"cnndebate..",2
"cnndebate/",2
"cnndebate~~",2
"cnndebates",2
"cnnheroes",2
"cnnsoundbyteoff",2
"conservative",2
"conservatives",2
"cosign",2
"cyberattack",2
"cybersecurity.",2
"dancingwiththestars",2
"debatefatigue",2
"delusional",2
"democratforeignpolicy",2
"dickmorristweet",2
"dnc",2
"drugwar",2
"dumbass....",2
"egypt.",2
"endthefed",2
"etatsunis2012",2
"europe?",2
"europe.",2
"everybodyisasleep",2
"expecttheunexpected",2
"fact",2
"factcheck",2
"faill",2
"fearhezbollahlatinamerica",2
"fool",2
"footinmouth",2
"fuckinglunatic",2
"fugop",2
"goddamnit",2
"gomitt",2
"goodfreakingquestion",2
"googleproblem",2
"gop.",2
"gopdebate,",2
"gopdebate:",2
"gopdebate&quot;",2
"govrick",2
"growapair",2
"h1visa",2
"heritagefoundation",2
"hermaincain2012",2
"hermancain's",2
"hisloss",2
"holybatshit",2
"hotmess",2
"huntsman!",2
"iamla",2
"iamsimon",2
"idpayforthat",2
"indianz",2
"iran:",2
"iran...&quot;",2
"irony",2
"islam...",2
"isolationism",2
"jcot",2
"joblessness",2
"joke",2
"jon",2
"just2bprecise",2
"keenanivorywayans",2
"keystonexl",2
"knockoutpunch",2
"leadership",2
"legalize",2
"lolz",2
"manfromuncle",2
"media",2
"michele:",2
"mostpainfuldebate",2
"mypetissue",2
"napoleonsolo",2
"neocons",2
"neoconstakingovercnn",2
"newt2012",2
"noblitz",2
"nocable",2
"noflyzone.",2
"notatotalloss",2
"occupy.",2
"occupycnn",2
"octoshape",2
"ohlehdoit",2
"otp",2
"outofcontext",2
"ows!",2
"ows?",2
"ows.",2
"oyvey",2
"p21",2
"paradeofcriminals",2
"paulwolfowitz",2
"permanentworkerunderclass.",2
"perrt?",2
"perry.",2
"persian",2
"polliticians",2
"prettyfuckingboring",2
"privacy,",2
"prochoice",2
"proudofmyself",2
"purple",2
"queesmasmacho",2
"really",2
"relevant",2
"roguesgallery",2
"romeny",2
"romney,",2
"romneytruth",2
"ronpaul!!!",2
"ronpaul?",2
"ronpaul&quot;",2
"russia",2
"rwnj",2
"scary",2
"scaryforreal",2
"separationofchurchandstate",2
"seriousaboutsyria",2
"sesamestreet",2
"siri",2
"smallbusiness",2
"smartestguyintheroom",2
"soa",2
"socialist",2
"somanytents",2
"sopa",2
"soundplan",2
"stem",2
"stevejobs",2
"stuffedcrust",2
"suchanunderstatement",2
"survivor2012",2
"syria;",2
"syria:",2
"teambachmann",2
"teamcain",2
"teamsanorum",2
"terrorism)",2
"thankyou",2
"thatbrilliantgop",2
"tinfoilhat",2
"trustdeficit",2
"tsa",2
"twisters.",2
"twitmo",2
"un",2
"usaproblems",2
"usdeficit",2
"ussr",2
"utpol",2
"venezuela",2
"wakeup",2
"wakeupamerica",2
"warondrugs,",2
"westwing",2
"whatamoron",2
"whenimdrunk",2
"wishfulthinking",2
"women",2
"workaholics",2
"youcantwritethisstuff",2
"1%ism",1
"1234",1
"15",1
"2012election",1
"2012unfiltered",1
"34",1
"4.",1
"420",1
"4shame",1
"9/11?",1
"9999999999",1
"abc,",1
"abrahamlincoln",1
"ac360",1
"acanadianopinion",1
"accuratebyromneystandard",1
"add",1
"aeidebate",1
"afghan",1
"afire",1
"africa.&quot;",1
"africaisacountry?",1
"again",1
"alawite's",1
"alberteinstein",1
"alecexposed",1
"alexandria",1
"algore",1
"algoresyndrome",1
"allmen",1
"allofyou",1
"alluneedtoknow",1
"allyourbase",1
"almostdone",1
"alshabaab",1
"alshabab",1
"alsoneedawedgie",1
"alwaysprepared",1
"amazing",1
"americafyeah",1
"americandream?",1
"americanenterprise",1
"amerpoli",1
"amiright",1
"andthatmoviesucked",1
"anotherbadjoke",1
"answertoeverything",1
"antiperry",1
"antiwar",1
"appreciativethough",1
"aq",1
"aquanet",1
"arabia.",1
"arabspring?",1
"arethesepeopleforreal",1
"aroundthehorn",1
"arresteddevelopment",1
"arrestwarrents",1
"asamom",1
"ashheap",1
"ashheapseverywhere",1
"askmittsomethingwolfie",1
"asseenontv",1
"assnat",1
"asteroid",1
"astros",1
"atheism",1
"audiencewakeupquestion",1
"awkward",1
"babylisa",1
"bachman's",1
"bachmann?&quot;",1
"bachmannnextcomment",1
"backslide",1
