"link","frequency"
"http://1.usa.gov/ughj3e",1
"http://is.gd/ARR62h",1
"http://t.co/00qT0qjY",18
"http://t.co/03AG7u9U",1
"http://t.co/0d2XJh8g",1
"http://t.co/0dTzozTb",1
"http://t.co/0IP8b5iQ&",1
"http://t.co/0kOmlm3P",1
"http://t.co/0MVDsdt1",4
"http://t.co/0vcfP6iA",1
"http://t.co/0vF7k17e",42
"http://t.co/14XDjia3",1
"http://t.co/1beU4rlI",1
"http://t.co/1bv0dANu",1
"http://t.co/1fr21FQM",3
"http://t.co/1imzZz8Z&quot;",1
"http://t.co/1lXHKWlg",1
"http://t.co/1s15rhrQ",1
"http://t.co/208Jp6vh",14
"http://t.co/23vYakqo",2
"http://t.co/29v1d6Su",12
"http://t.co/2CtAs8UG",1
"http://t.co/2m2wnkC6",1
"http://t.co/2qtQ0PKd",2
"http://t.co/2rHg9k4S",1
"http://t.co/34g5IXr9",1
"http://t.co/3kApZrkX",1
"http://t.co/3L0dE4xz",1
"http://t.co/3LqINZKh",2
"http://t.co/3PiIpNHt",1
"http://t.co/3sos4Hc8",2
"http://t.co/3TDmGUlF.",1
"http://t.co/4dGDobeh",3
"http://t.co/4G64OBlV",1
"http://t.co/4N0fnLcF",1
"http://t.co/4yaE85EY",1
"http://t.co/5bZHc66G",3
"http://t.co/5Kr1ojZT",11
"http://t.co/5teRP2Fu",8
"http://t.co/5ZGQrfYF",1
"http://t.co/6XTOOqs2",1
"http://t.co/6yaNv6Bv",1
"http://t.co/6Z030z8B",8
"http://t.co/75k4J8gj",1
"http://t.co/76XtY08I",1
"http://t.co/7FTxOdWK",29
"http://t.co/7NkDgCjO",1
"http://t.co/7oat8mNm",1
"http://t.co/7PbbfY5F",1
"http://t.co/7spte50f",1
"http://t.co/7TLpssbO",1
"http://t.co/8qzCSCtb",1
"http://t.co/8snnBMPf",1
"http://t.co/8WBc2mJl",1
"http://t.co/9KK2AzYg",1
"http://t.co/9M80bLIa",1
"http://t.co/9PGMfeXl",1
"http://t.co/9sUcHW7m",1
"http://t.co/9zOjjSgU",1
"http://t.co/A2XKFoku",1
"http://t.co/AcoQCJXa",1
"http://t.co/aFplXHRg",1
"http://t.co/AM6p57tY",1
"http://t.co/aNY1jVB3",1
"http://t.co/AOgr4RbM",1
"http://t.co/APFFclbk",3
"http://t.co/arABp5wA",1
"http://t.co/ARbQxu84",2
"http://t.co/asv0wtVy",3
"http://t.co/auOYn6Ih",1
"http://t.co/aynutEqW",2
"http://t.co/B01Tr2cu",1
"http://t.co/b0axBXCH",1
"http://t.co/b63EjZzb",2
"http://t.co/b6IONYfu",1
"http://t.co/bblLVzWK",1
"http://t.co/Be6aKHSp",1
"http://t.co/BiIJ8jsS",1
"http://t.co/BK4hlroz",1
"http://t.co/bk7W6lOb",4
"http://t.co/BLkOHcoW",1
"http://t.co/BrHTtw7o",1
"http://t.co/bUAc4r1J",1
"http://t.co/bugztN3l",3
"http://t.co/bWraHJ6Z",1
"http://t.co/BYiCwx3l",1
"http://t.co/bZsp2BQS",2
"http://t.co/c5vjhAvH",4
"http://t.co/c7R4xFvY",1
"http://t.co/cA1AapqE",1
"http://t.co/CEkcWR52",1
"http://t.co/cfKhVUHu",1
"http://t.co/CH18J8pu",2
"http://t.co/chA8RyNr",2
"http://t.co/ciysYKnS",1
"http://t.co/CnRfATUE.",1
"http://t.co/cPMmMUcO",1
"http://t.co/cqGiTajP",1
"http://t.co/cTNoDKx5",2
"http://t.co/d0EeZjAg",1
"http://t.co/D9dn526T",10
"http://t.co/DbWhvcbT",4
"http://t.co/DcfJQI63",1
"http://t.co/dD1DXaMF",1
"http://t.co/dDouQ2RB",1
"http://t.co/DIwI0O8z",1
"http://t.co/dSvYXk1W",1
"http://t.co/DwaVLDYk",28
"http://t.co/DwjTktf6",3
"http://t.co/dzdJoRlD",1
"http://t.co/e6DcTymM",1
"http://t.co/EDcL7oDu",1
"http://t.co/Ef7gWg77",2
"http://t.co/EKnhalAp",1
"http://t.co/eNIxjR24",1
"http://t.co/ENuO0VCv",1
"http://t.co/ERU1dPRR",6
"http://t.co/eRZyrp09",16
"http://t.co/EsiuKYpF",1
"http://t.co/EXlBxGWi",1
"http://t.co/F1ifuRqg",1
"http://t.co/f9SksYzr",1
"http://t.co/FAHAFUqL",1
"http://t.co/Fenawqzh",23
"http://t.co/fHlqdEPk",1
"http://t.co/fLJ9ULK3",7
"http://t.co/fNB6rXp1",1
"http://t.co/foBDSJy3",1
"http://t.co/FrwQQPL4",1
"http://t.co/fS6MOeLg",1
"http://t.co/ftfWqKkm",1
"http://t.co/fWUjs9Ex",1
"http://t.co/FwWGGkAj",1
"http://t.co/fZWRpIHz",2
"http://t.co/g5ekjpUR",39
"http://t.co/G6twZZj9",2
"http://t.co/gaegzjQF",1
"http://t.co/GB7XLM8h",1
"http://t.co/GI3uIK3s",1
"http://t.co/Gk6QrRKl",1
"http://t.co/GmaMnPO1",3
"http://t.co/GMitM9Si",2
"http://t.co/GpXK97yX",1
"http://t.co/gSiLj5ng",1
"http://t.co/GT1kxgRS",4
"http://t.co/gTSKoYzQ",3
