"mention","frequency"
"",21
"__danielaaaa",1
"_dreemer_",1
"_ifound2pac_",2
"_k_e_v_",1
"_mdowling",1
"_nik_lee",1
"_pius",5
"_saladinho_",1
"_sirlogophile",1
"_solodovepr",1
"(me)",1
"#cnndebate",6
"100billion",2
"140elect",1
"1984to1776",1
"1man3ladies",1
"2chambers",8
"2fucknfancy",1
"420dailynews",3
"4kast",1
"5stringjeff",5
"60minutes?",2
"a_g_named_sue",1
"a_grozdev",1
"aaiusa",6
"aandgshow",1
"aaron_rs",1
"aaronburns",1
"aaronkinnari",1
"aaronlmorrison",1
"aarontask",1
"abc7news",1
"abcclark",1
"abesauer",7
"abrahamjh",4
"aburnspolitico",1
"ac360",34
"acarvin",17
"acarvin&quot;",1
"according2jenni",1
"acdems4change",2
"aclu",18
"aclupa",1
"activlizm",1
"acwriter01",1
"adairsvillerob",1
"adamcurry",1
"adamdjacobson",1
"adamfergus",1
"adamgcrews",1
"adammc123",1
"adampknave",1
"adampopescu",1
"adamschopper",1
"adamserwer",1
"adbridgeforth",1
"addiestan",16
"adeleintexas",6
"adencrockertwit",1
"adenovir",17
"adewole101",1
"adilraza",1
"adiochain",6
"adoughty7",1
"adybonilla",2
"aei",8
"aei?",3
"aei's",2
"afgutierrez",1
"africanprospect",1
"afrochicva",1
"afterseven",4
"afwjam",15
"agentlambos",2
"aguyonclematis",1
"ahh2fly",1
"ahwahoo2006",1
"aipolitics",3
"aishatyler",69
"ajconwashington",1
"ajelive",1
"ak2sandiego",1
"akiperitz",1
"aklddwv",1
"akr3volution",3
"al_haig",1
"alancolmes",1
"alanfisher",6
"alelanca",4
"alex_teta",1
"alexcast",2
"alexdictates",4
"alexfauff",2
"alexjhuang",1
"alexnbcnews",2
"alexrharrington",3
"alexwagner",13
"aliamjadrizvi",1
"alicetweet",2
"alienicole7",1
"alinbcnews",2
"aliontheair",1
"alisonforns",4
"all_ages",1
"allahpundit",2
"allenfox",1
"alliegdc",1
"allyshoshana",3
"almacy",5
"alpha1906",17
"alpinnix",1
"alvintovani",1
"amaeryllis",1
"amarilyst",2
"ambranykol",1
"america4ward",1
"americanspringg",2
"americas_forum",1
"americasright",3
"amie_bashir",1
"ammaarahk",1
"ampofoboadi",1
"amy_bingham",1
"an0nyc",7
"anamariecox",30
"anandwrites",1
"andishehnouraee",1
"andreamsaul",8
"andresdavid",3
"andrew_w88",1
"andrewhclark",1
"andrewmcass",2
"andrewzucker",1
"andy85719",1
"andybud_o",1
"andyhartleyshow",1
"andylevy",1
"angela_rye",1
"angelete71",1
"anildash",28
"annasekulow",1
"anncoulter",3
"annekeegreen",1
"annie_frey",1
"anonyops",28
"antderosa",54
"anthonynbcnews",1
"anthropocon",1
"antiwarcom",2
"antloewenstein",1
"anton_georgiou",1
"antonibassas",1
"anxiousarab",2
"anyaarisohn",1
"aol",1
"ap",1
"apbblue",14
"apblake",1
"aph_roe_dite",2
"aprildgregory",1
"arabvoicesspeak",1
"arianna8927",2
"aridhumerus",1
"arifleischer",3
"arlenearmy",1
"armedcoup",1
"armlessphelan",3
"armscontrolnow",2
"arneduncan",1
"artco77",2
"arturo_sarukhan",3
"as_promised",3
"ase",27
"ash_heap",1
"ashbrown77",2
"ashley0317",1
"ashleymyers93",1
"ashleyrparker",3
"ashmont",2
"ashong",33
"askari4cain",1
"asnyd",2
"aterkel",2
"atfreport",1
"atlasshrugs",23
"atodell",3
"atomicdaytona",1
"atreides88",1
"attackerman",57
"atticuss13",1
"auntyemericann",1
"awkwarmelon",1
"azgadsden",1
"azizalalami",2
"azkenreid",1
"b_4beloved",2
"b_fung",3
"babytoothdoc",2
"bacardimo",1
"bachman",1
"bachmannsbrain",8
"bachmannsmind",1
"badler",1
"badspllrzuntie",2
"bakalopoulos",1
"balasseny",2
"ballabon",1
"baltic_avenue",2
"banditontherun2",1
"barackobama",33
"barackobama!",3
"barackobama?",1
"barackobama's",1
"barb_hill",2
"barbaraslavin1",3
"barkway",4
"barredbird",1
"barrydonegan",3
"bartongellman?",1
"bcdoesdc",1
"bdomenech",1
"be4long",2
"bealeighlee",1
"beatitudes",5
"beautyconsazon",4
"beautyon_",2
"bechamilton",8
"beenasarwar",1
"beks2727",1
"bellaandfrank",1
"bellanerdette",1
"ben_bones_jones",5
"ben_howe",10
"benarilee",1
"benfolds",1
"benfroland",1
"benjaminja",6
"benjaminpollock",1
"benjobubble",1
"benlevineofa",1
"bennyc50",1
"benpolitico",2
"benwerd",1
"benyeahwhat",2
"bethanyshondark",14
"bethbeck",1
"betibiel",1
"betterworldorg",1
"bettyfckinwhite",6
"beybreezycanada",8
"bflobeast",3
"bfreshtweet",1
"bgolnik",1
"big_dread",2
"bigthinkr",1
"bigtoys",1
"billcanacci",1
"billgertz",1
"billmc7",3
"billyv123",1
"bishopap",6
"bizzibella",1
"bjonthegrid",1
"bklynoccupier",2
"blabbeando",1
"blackcanseco",18
"blackdebutante",1
"blackdragonfly5",1
"blackrepublican",12
"blacksheeprpt",29
"blackthisout",33
"blametelford",1
"blandinbasement",1
"blaqparishilton",1
"blaze_chriss",2
"blessed2be_z",4
"blevine16",2
"blogdiva",79
"bloombergview",5
"bluberripoptart",6
"blueintheburg",1
"bluesaloon",2
"bmenoza",1
"bmorrett",3
"bob_owens_blog",4
"bobblespeak",1
"bodepaul",3
"bollyweed",1
"bookdal",1
"bookerdubois",2
"bookerreid",1
"bookofjames",2
"boomerw",2
"boreguru",3
"borowitzreport",412
"bosson100",2
"bougeebehaviour",1
"bourbonface",1
"bowmama",2
"bpopeizdope",1
"bradstinks",1
"brandon_penny",1
"brandonkiser",6
"brandootr",2
"brazen3",2
"breeannehowe",13
"brendasays___",1
"brentbozell",6
"brenthatley",6
"brentteichman",4
"brettmm",2
"brianarrhea",8
"brianbeutler",10
"brianhenchey",1
"brianmusick",1
"brianpempus",1
"brianstoltz",1
"bridgettwagner",1
"britannywashere",1
"britweaver",1
"brizoni",1
"brodigan",3
"brokenhalo",1
"bromberglaw",1
"brookebcnn",1
"brooksbayne",9
"brosales12",1
"brucechalupa",1
"bryanjfischer",14
"bryanjfischerpaul",1
"bstrider",1
"buartsjournal",2
"buck_fachmann",7
"buddyroemer",89
"buie",1
"builder26",1
"bullgadash",1
"buncombeyrs",1
"bungdan",3
"bunnysnsunshine",1
"bushman627",1
"buttercupd",1
"bwils74",1
"bwoboe1",1
"byelin",1
"byronnme",1
"byupolitics",3
"c_schwaber",1
"c4liberty",2
"ca4hermancain",2
"cain2012",2
"cainstaff",14
"calliopeco",1
"callmec0ach",1
"callmeder",1
"callmejen27",1
"candi151",1
"capehartj",7
"capehog",1
"capitolmuckrakr",1
"capreble",14
"caradox",1
"carlandrose",1
"carloslozadawp",1
"carmenlezeth",2
"carolinewren",1
"carribugbee",2
"carrienbcnews",2
"caseycontrarian",1
"catastrophenet",1
"catholicdems",12
"catnyugen",1
"catofp",26
"catofp)",4
"catoinstitute",1
"causeofliberty",4
"cbs",2
"cbsjancrawford",3
"cbsnews",61
"cbsnewshotsheet",5
"cbstopnews",1
"cdewayneharris",1
"cdnnow",2
"cdotezbrzy",1
"cfheather",5
"cgs_dc",2
"ch13fmarin",1
"chadbowie",1
"chairman_wow_",1
"changeversation",2
"chaostar13",1
"charlesbivona",12
"charlesmblow",5
"cheler0",2
"cherylduckworth",1
"cherylrofer",1
"chicanisima",2
"chickorie",1
"chicodelainky",4
"chillrelaxed",1
"chilltowntv",1
"chinhon",1
"chris_moody",1
"chrisalbon",3
"chrisargyris",5
"chrisastro",2
"chrisburlingame",1
