"source","target"
"glasterlaw1","vic_sez"
"NoWayNRA1","JamesViser"
"Stressed_Eric72","SazJayney"
"NAMI_NYC","afspnational"
"PrincessAdri113","vahruneprince"
"EstebanGolkerts","SamZigterman"
"Mama3Cubs","rhwigg"
"vickycannon95","ImmiW279"
"Kriskxx","TheKuhnerReport"
"AdamSilke","AmandaGreenUK"
"MiraclesHere","DanielWalsh12"
"Davidkevin","StevenBrust"
"J_Tawton","serafinowicz"
"Kathrine_neff","SquireTeachDc"
"tom_ruanee","FunnyGooner"
"cliptrend","Kicker"
"heytheretom","suz_facts"
"johnfbaumgartne","NRA"
"TonyClewes","theUKtoday"
"KenMarshall","gretawire"
"democracynow","emmaladyrose"
"radkidrauhl","bieberandbands"
"democracynow","joshtpm"
"ButterBridgeRec","Johntrom75"
"eroc504","FredFaour"
"joshhandley29","Shanhallamxx"
"johnfbaumgartne","NRA"
"AnaMia147","StopSelfHate4"
"MentalIllPolicy","Rnb129"
"democracynow","hamiltonnolan"
"k8_bradley","BastonCream1"
"emqff","msrachelhollis"
"bmoeller20","ryanvogt27"
"MeganMulry","meoskop"
"LauraBabcock","Bruticus82"
"SpaghettiKing","piersmorgan"
"SpaghettiKing","BarackObama"
"jackiekallday","PoliticsNation"
"SpaghettiKing","SenFeinstein"
"SpaghettiKing","WolfBlitzer"
"SpaghettiKing","OutFrontCNN"
"KingSutty","DHofe21"
"SpaghettiKing","camanpour"
"SpaghettiKing","FareedZakaria"
"SpaghettiKing","andersoncooper"
"starstruk79","DetDidine"
"SpaghettiKing","NRA"
"SpaghettiKing","HalaGorani"
"SpaghettiKing","DonLemonCNN"
"DetDidine","starstruk79"
"SpaghettiKing","richardquest"
"fionaok","hygge_belfast"
"SpaghettiKing","clancyCNN"
"SpaghettiKing","crowleyCNN"
"JeffShowalter","cklosterman"
"starstruk79","VirginiaM_"
"SpaghettiKing","JonathanMannCNN"
"fionaok","hygge_belfast"
"niki1295","LarsLarsonShow"
"patriot1944","GregWHoward"
"colonelswife2","TwitchyTeam"
"democracynow","pemalevy"
"_sln42","Daughter_Dark"
"NayChi","sarahcasm"
"C_J_Hayes","rickygervais"
"kilnclown","UNICEF"
"tarawasjesus","WSJ"
"The_Firkins","jbtalker"
"leon16066","finneyk"
"kayleighpuget","AskingKelsey"
"starstruk79","DetDidine"
"LiberalJohn007","punkrocker159"
"CeltsAsBroncos","AmyVanDyken"
"cherylslvnv","Kicker"
"democracynow","annanorthtweets"
"Lavender_Lines","sadlerfan27"
"ChelseaRPrindel","Suing_Connor07"
"sarinaisshaft","stephenfry"
"peterdroberts","Jon_Mackenzie"
"emibombb","riandawson"
"CarolynPogo","Tag4dreams"
"creep138","SassyPantssss"
"bellacaledonia","ScotlandThinks"
"julieandpatrick","NancyPelosi"
"TastesmithHFX","notnotnick"
"salinasdeoro","SuzieWilliams"
"Kaila__Styles","allie_berry12"
"allie_berry12","Kaila__Styles"
"ohbeehave","MarkOneinFour"
"shibz_1989","R_Lewis_thewest"
"Kaila__Styles","allie_berry12"
"aliciabbrooks","jbrabin"
"CarolynPogo","AdamBraun"
"Fouda_","NadaPrudence"
"MaryFunkk","paigelynn86"
"amorbidenigma","wazi_z"
"jcpossley","TedNugent"
"DanLake73","davidhorsefield"
"glengaugh","Canadian_SW"
"Gypsi_fw","RepJoeBarton"
"TanellaPuccio","nataliavelj"
"LeighKprestri","glengaugh"
"tommy_finch","Groovurism"
"FatmanBCFC","ItsGiovannaP"
"clippermiami","Customex2"
"oz_f","AllOnBlack13"
"GrooPunk","TheAnchoress"
"BANGBANGoregous","RemyMama1"
"brookgarden","NAMICommunicate"
"GrooPunk","TheAnchoress"
"Jwalkerspirit","oumaima__a"
"GrooPunk","TheAnchoress"
"CarlyDellis","ally_wilcox"
"sevenlayercake","keder"
"IamDannyBlaze","LDNs_Finest"
"transstingray","HereticalHomo"
"MilesDeCaro","Highway_30"
"MattGallo501","Grantland33"
"HypemanFresco","Lex_Lucas"
"camnicholas83","its3rin"
"Sunnie5274","brewfangrb"
"TrannaWintour","CharlieGreen999"
"Jambo_11","SkinMechanical"
"bizjs","DoctorTherese"
"amazonv","j00j"
"MONDOUXFONDUE","KwakuBoateng54"
"JakeReitz","ThatWhiteGrrl"
"christykoury","TannersDad"
"AdrienneWallace","Angeljami"
"JarretK","jimrome"
"Swartz_Matt","always_sunny_"
"Ello_Cheeky","ShomariShowtime"
"TheSarcastiKing","FemmeSkeptic"
"DebbieLuvs","Kahsai"
"ashfordhughes","NVanReece"
"frakintosh","johnroderick"
"Tay__J","Bell_LetsTalk"
"JCSaturday","CassadeePope"
"bostonbibliophl","jen_cyr"
"MANX38","BrianJacobSmith"
"DiaryKee","BillyCashmere"
"gadgetgirl_ca","kirstenduke"
"keithbarry1959","toddkincannon"
"bernieisd0pe","Bnze95"
"darahxwagner","manikisslingg"
"adam_zander","progBuzz"
"demetriaddavis","WSJ"
"jakezeek29","emilyjoburton"
"SandraJed","charolettebrown"
"jandmferris","SenFeinstein"
"CulturalSavage","InciteFaith"
"SaveRepublic","edshow"
"SaveRepublic","ErinBurnett"
"CulturalSavage","InciteFaith"
"BPN_dave","joerogan"
"CarmanK1","LadyGloriousjax"
"tondaperkins","steffy7680"
"CurtPires","djeljosevic"
"bphogan","jm"
"peteramescarlin","johnmoe"
"Captamerica282","NRA"
"nailbiter111","BradBirdA113"
"GrooPunk","TheAnchoress"
"nnonne17","LeBatardShow"
"johnmoe","peteramescarlin"
"PROVIDENCE1791","Meester_Beeg"
"JackieDee16","sweetpea403"
"Albertenstein","f396"
"TrancewithMe","firecatkitty"
"DiaryKee","BillyCashmere"
"DiaryKee","BillyCashmere"
"britwithtalent","ErinBurnett"
"loriabrooks","Nice_Jewish_Boy"
"Stephnwi10","LaurenG311"
"hollyxo_","carlyparent"
"MyNaMeIswoot","KinneticsRacing"
"marleymarl037","CNN"
"TrancewithMe","firecatkitty"
"chuzzbuster","WhiteeeStallion"
"Eric_Erbaugh","DLoesch"
"doomed98985","MainHeadlines"
"SterlingMB","Twistowit"
"xsavethesmilesx","CelebrityFind"
"bejust4laughs","steffy7680"
"TarotDarrow","Mozi_N"
"zosauce","ballstothewaal"
"Charissescool","JustJarrodYo"
"rhettjum","keithellison"
"xhotmessxx","LolSnaps"
"silvermoon820","MSNBC"
"mattthomas","AJ925"
"irkif10","AinIrfan"
"skerbz","the_meow_meow"
"jordanweeb","RachEnsom"
"BillyBobGDFF","Kevin__OConnor"
"sebthinksindigo","RivanPhoenix"
"zaynuhh69","jessscuhhh"
"EllenKolb","NraWayne"
"jessscuhhh","zaynuhh69"
"MarlonEBatres","AP"
"TopcatHB24","JennySnooper"
