"source","target"
"dougusa1","chucktodd"
"jacqui","anamariecox"
"oxfordgirl","Mr_McQwerty"
"sheenFeighteen","jonahsprotege"
"rcengelsman","ICtine"
"DavidMDrucker","TheHermanCain"
"BarryDonegan","TheFix"
"AngusCarruthers","holtzmanjason"
"dankennedy_nu","anamariecox"
"GaffeGirl","michaelranaii"
"MyrnaTheMinx","cnnpolitics"
"VinceBognot","Blabbeando"
"McCullars","chucktodd"
"TFCochran","kathleenmadigan"
"AL_Lindor","CNN"
"ebayjick","daveweigel"
"RodDMartin","MulliganStew63"
"EconomicInsite","newtgingrich"
"J4LYN","an0nyc"
"mstiman","A_Grozdev"
"faris007","michelleinbklyn"
"pbrannigan","Talkmaster"
"REWT4NEWT","piersmorgan"
"tommy4usa","TPPatriots"
"linbergbaby","THEHermanCain-"
"varaj3","herman"
"Shirl_BFree","wolfblitzercnn"
"saleem_ali","Heritage"
"NBATradeAssn","wolfblitzercnn"
"ScottCross","GovernorPerry"
"THE1_AB","daveweigel"
"PoliticsIn01245","THEHermanCain"
"RepublicanRocks","TheHermanCain"
"Shairailee","Weiss_Sam"
"MicahSquires","NY_Dano"
"fishinsam","cspanwj"
"efrain_nieves","chicanisima"
"catekustanczy","lizadonnelly"
"omeron23","SolayWellness"
"Mike_Zawadzki","combs_brandon"
"prameelanagaraj","MelissaTweets"
"ahmad_akar","CNN"
"tommy4usa","chucktodd"
"VAAR_2001","Talkmaster"
"Dogger55","anamariecox"
"KareemFerguson","shanabananasc"
"aledgerwood76","piersmorgan"
"Knightinkarma","alexwagner"
"","Talkmaster"
"Que_Bueno","UnivisionNews"
"derkaisermike","wolfblitzercnn"
"sexythinker","jillmcfarland"
"bellaandfrank","Afterseven"
"jpmorris","InaJaffeNPR"
"morgansher","BuArtsJournal"
"YYCChuck","SlaughterAM"
"nerdlifesty","toddbarry"
"GOPBlackChick","THEHermanCain"
"The_Brent_Wadas","lisargray"
"MaxeenDeniro","TrueBlueLiberal"
"Boubah360","NewsNinja2012"
"GitEmGirl","WolfBlitzerCNN"
"zeteticus","NewtGingrich"
"JustinnitsuL",""
"Jay_165","piersmorgan"
"rsaustin31","GovernorPerry"
"Atallonia","rolandsmartin"
"alexrharrington","southernavenger"
"asyoureadthis","AnnCoulter"
"mnemosynekurai","JakeJohnson20X6"
"tommy4usa","Heritage"
"MulliganStew63","RodDMartin"
"MickiisaCainiac","THEHermanCain"
"RyanCampione","ChuckieCorra's"
"dangainor","anthropocon"
"JonHuntsmanFan","THEHermanCain"
"LeviMargolin","GovGaryJohnson"
"ryan_printy","THEHermanCain"
"mikenorys","asnyd"
"ThinkTankedWaPo","SlaughterAM"
"MoellerMD","RonPaul"
"JAndrewClark","DStefanski"
"kamiller42","TeamRickPerry"
"roadrun775","WOLF"
"amy_vrwc","EWErickson"
"ChristianABerle","SamuelMoore"
"ReconChesty","FoxieNews"
"KevinGoza","TerryMoran"
"Afterseven","bellaandfrank"
"BookerDuBois","CapehartJ"
"MaryRocco","ArmedCoup"
"usernamenuse","melissa5001"
"GatsbyCaulfield","Jon2012girls"
"socratesmaura","piersmorgan"
"BuncombeYRs","Jon2012girls"
"OccupyOslo","monkeyofdarknes"
"tackjhompson","MaggieMayOK"
"MichaelPaulk","datterhaus"
"vp1975","rolandsmartin"
"jlms_qkw","SlaughterAM"
"","JIBurg4"
"mvopsu","JonHuntsman"
"joshuagruzard","THEHermanCain"
"mrod21mvp","goldietaylor"
"kj_ward","SooperMexican"
"KimberlyArtist","taboo1099"
"ourmaninchs","wolfblitzercnn"
"ktracycom","MittRomney"
"noblefacts","DickMorrisTweet"
"RepublicanRocks","GovernorPerry"
"MOforPerry","GovernorPerry"
"McSaddle","MittRomney"
"BLEVINE16","RonPaul"
"habibsammy","piersmorgan"
"MickiisaCainiac","THEHermanCain"
"vp1975","DLoesch"
"JoeWStafford","PaulBegala"
"chrisgolden","dcseth"
"IvanGH","CarrieNBCNews"
"TimWolfgang","StockSage1"
"morgansher","KathrynBruscoBk"
"ActiveAgent","tgiovanetti"
"dphishin","FulhamNation"
"jadore_trezor","intellecttripod"
"tristanberry","THEHermanCain"
"brianjcarroll8","CNNPolitics"
"SpectrePilot","jamiedupree"
"KraftyWurker","FloridaJayhawk"
"stockguy22","dizz1e"
"securelexicon","Cirincione"
"WayneNorris2","THEHermanCain"
"StephanDemers","cnn"
"g3vol","GovernorPerry"
"almacy","Michael_Hartt"
"JurgenBrul","CNNLive"
"DaveKallas","rickperry"
"RickStrandlof","GovernorPerry"
"theshex","PatrioticLogic"
"ASE","ASE"
"GathyINClevelnd","piersmorgan"
"pzil","LaurenLyster"
"Shattucking","LukeRussert"
"cjdiana27","PaulBegala"
"the_rubberduck","thefatlawyer"
"Conservathink","NotBodhisattva"
"dalydes","PennyRed"
"goodthingz08","CapehartJ"
"brow_down","southernavenger"
"donna816","cspanwj"
"iowabob17","HiMyNameIsSeton"
"Spaynce","Mr_Weed_Stash"
"athiestgeek","JBennet"
"nick_ramsey","thefix"
"kaycee007","Rickperry"
"ImoImeh","freeBallin_"
"rsaustin31","GovernorPerry"
"RodDMartin","MulliganStew63"
"DominicDeMaria","newtgingrich"
"ThatChristyChic","THEHermanCain"
"","Talkmaster"
"KennethFDavis","THEHermanCain"
"HarvardTeaParty","#CNNdebate"
"CRENpolitics","Jon2012girls"
"PoliticsIn01245","GovernorPerry"
"dwilliams459","Ronpaul"
"GNPBruins","Jackie_Pepper"
"rachb314","newtgingrich"
"RES_Tampa","LUCKYMW"
"PunditOnPoint","CapehartJ"
"jeravincer","JonHuntsman"
"Adambrimer","CNN"
"drmchsr0","mike_br"
"southerntalker","RALPHREMINGTON"
"Deecizzy","CNN"
"BuArtsJournal","wolfblitzercnn"
"johnsteen","BigToys"
"E_Harp_","shandalwilson"
"SkylarEntPR","tchadquarterly"
"GOPBlackChick","THEHermanCain"
"Zaloomination","Mittromney"
"jamndad","piersmorgan"
"TheAcsMan","HedgefundPLAY"
"RSH327","Txsleuth"
"evafacundo","nickidems"
"RodDMartin","MulliganStew63"
"Kayne21","RickPerry"
"jaiiime","TheMiinz"
"debostic","JonHuntsman"
"scott_nicholson","LindaLedbetter"
"CubeCDR","GovernorPerry"
"diggaduh","JonHuntsman"
"theleftistrebel","JonHuntsman"
"The_Woch_Man","David_Gergen"
"PatriotCL","TPCarney"
"CoachRogers92","DickMorrisTweet"
"Weiss_Sam","Shairailee"
"HalloweenBlogs","kdrum"
"DuploWarrior","THEHermanCain"
"Chickorie","TheReidReport"
"marklarsonradio","Kbardella"
"PenguinPolitico","JonHuntsman"
"YYCChuck","umairh"
"mattshultz","jamiedupree"
"ryan_printy","JonHuntsman"
"theymoo","MikeTyson"
"SoCal_Dave","aishatyler"
"khaniluv","AlanColmes"
"JoshuaMolina","davidcarlson1"
"MarkChou","CarlosLozadaWP"
"sheenFeighteen","Tdivicenzo"
"TomOdell","TheHermanCain"
"KraftyWurker","TPM"
"Chopper1340","sjh2222"
"IvanGH","murphymike"
"TrevorHillAZ","nprpolitics"
"JustinnitsuL",""
"Dogger55","AnonyOps"
"AmyEngland1","TeamBachmann"
"msmcgahhey","JonHuntsman"
"Realtimer2010","#CNNdebate"
"sadunagan","rickperry"
"gagolfmom","ctuckerprof"
"Bfargz","patrickhdonges"
"MCoatsworthHay","joan_evans_nyc"
"MarkMyWords31","JoyVBehar"
"GregRector1","Jon2012girls"
"MaizeSombrero","MGoShoe"
"SectorFej","THEHermanCain"
"KevinGoza","DickMorrisTweet"
"America4ward","CNN"
"bechamilton","SlaughterAM"
"BuncombeYRs","JonHuntsman"
"CamPruette","JonHuntsman"
"grglmt1234","BorowitzReport"
"LMElephantBlog","SpendGuru"
"sweetal","BrianStoltz"
"tdiggy","PaulBegala"
"Veribatim","Heritage"
"kamR9","piersmorgan"
"TexanIndiana","GovernorPerry"
"ChristianABerle","SamuelMoore"
"coneymedia","JonHuntsman"
"MmedeSevigne","P0TUS"
"SteveBrant","howardfineman"
"E_Joyce","drjjoyner"
"shrewsdrool","kady"
"Lizzs_Lockeroom","aishatyler"
"marjack68","MrObveeus"
"RobertBluey","rorycooper"
"DavidMDrucker","RonPaul"
"ALBDamn","CraigsOverEasy"
"Dianne93101","cnn"
"Babytoothdoc","joerut"
"drjwalk","SlaughterAM"
"libjim","piersmorgan"
"politicsGOP","JonHuntsman"
"annie_m4","JonHuntsman"
"Amitsachdeva","GovernorPerry"
"Ben_Bones_Jones","jonhuntsman"
"NotBodhisattva","Conservathink"
"chipdizard","ShaunaReporter"
"curtster","wolfblitzercnn"
"luisrivero","DLoesch"
"DosMasCervezas","PATR2012"
