"","x"
"AAIUSA",6
"abesauer",6
"AC360",30
"acarvin",17
"ACLU",10
"addiestan",13
"AdeleinTexas",6
"Adenovir",16
"ADIOCHAIN",6
"afwjam",15
"aishatyler",56
"alexwagner",10
"alpha1906",13
"anamariecox",21
"andreamsaul",7
"anildash",25
"AnonyOps",24
"AntDeRosa",48
"APBBlue",11
"ASE",19
"ashong",31
"atlasshrugs",20
"attackerman",42
"BachmannsBrain",7
"bechamilton",7
"Ben_Howe",6
"bethanyshondark",12
"BettyFckinWhite",6
"BeyBreezyCanada",8
"BishopAP",6
"BlackCanseco",15
"blackrepublican",11
"BlackSheepRpt",25
"blackthisout",32
"blogdiva",72
"bluberripoptart",6
"BorowitzReport",363
"BrandonKiser",6
"breeannehowe",8
"brenthatley",6
"brianarrhea",8
"brianbeutler",7
"brooksbayne",9
"BryanJFischer",14
"Buck_Fachmann",7
"buddyroemer",72
"CainStaff",8
"capreble",13
"CatholicDems",11
"CatoFP",24
"CBSNews",60
"CharlesBivona",10
"chuckdevore",13
"chucktodd",6
"Clarknt67",11
"cliffschecter",9
"CNN",12
"cnnbrk",27
"CNNLive",6
"conor64",31
"Conservative_76",10
"Conservativeind",18
"cprater",8
"ctuckerprof",6
"cyndeZu",29
"dandrezner",20
"dangainor",20
"dankennedy_nu",8
"Daroff",8
"daveweigel",52
"David_Gergen",6
"davidbadash",13
"davidfrum",12
"DavidMDrucker",19
"Dbargen",13
"DCdebbie",13
"delrayser",8
"DemocratMachine",20
"deroo1da",6
"desifeminista",14
"deviatar",6
"dickmorristweet",194
"DickMorrisTweet",17
"digiRT",7
"djsarahspin",6
"DLoesch",23
"dmataconis",32
"DougBenson",31
"DPaswaters",8
"drgoddess",17
"drgrist",58
"EhabZ",7
"eliselabottcnn",9
"emilylhauser",10
"EnergyCitizens",7
"Erin_Brown",10
"eugenialeigh",8
"fakedansavage",15
"fbihop",7
"fbmadman1",6
"FilmLadd",9
"FingersMalloy",6
"FlavaDave10",7
"FloridaJayhawk",6
"FoxieNews",9
"GaltsGirl",9
"GarrettNBCNews",24
"gatewaypundit",11
"GerryDuggan",12
"GoforthandC",6
"GOPBlackChick",6
"GovGaryJohnson",18
"greybeard411",6
"grivno",6
"Heritage",160
"HuffingtonPost",11
"HuffPostPol",18
"IcarusPundit",8
"irishspy",11
"JamesFallows",28
"JamilSmith",23
"Jarjarbug",10
"JasonBWhitman",10
"jbplainblog",6
"jclopezcnn",6
"jeremyscahill",98
"jimspellmancnn",6
"jm3679",9
"JoeMyGod",47
"JonHuntsman12",8
"JoshDorner",9
"joshrogin",24
"JoyVBehar",75
"JuliaCHurley",7
"Karoli",14
"kathryndelong",19
"keder",25
"kelly_carlin",10
"kesgardner",24
"KLSouth",10
"KrystalBall1",14
"kylemaichle52",8
"LATSeema",12
"LibertyPoet",31
"LibertyTango",8
"LilianaSegura",8
"LOLGOP",63
"marissaaevans",14
"markzbarabak",24
"mattfraction",7
"MaxBlumenthal",33
"MDMRN",6
"meglanker",21
"MelanieDNC",6
"MelissaTweets",57
"MichelleFields",9
"mikerogerstx",8
"mneuberger",6
"mollycrabapple",37
"NatJournalBaron",9
"nealcarruth",6
"NewWorldRadical",16
"nit2am",6
"notjessewalker",15
"NYPostOpinion",7
"OccupyArmy",6
"owillis",12
"oxfordgirl",15
"P0TUS",37
"pandagon",8
"PaulBegala",90
"PennyRed",38
"PerryStudents",7
"PerryTruthTeam",16
"peterdaou",13
"piersmorgan",192
"PJCrowley",12
"PoliTexan",6
"politicoroger",13
"postpolitics",26
"Pres_Bartlet",33
"PunditMom",6
"rationalists",93
"RClarkeCooper",8
"RDevro",10
"ReformedBroker",11
"RepJackKimble",9
"RepublicanRocks",6
"RevPac",40
"rickklein",12
"rickperryfacts",10
"rkref",17
"rkrishnakumar",6
"RodDMartin",26
"rolandsmartin",208
"RonNehring",23
"RonPaul",33
"RonpaulblogPaul",14
"RPaulTShirtDay",9
"ruiefe",6
"rumpfshaker",11
"SangyeH",7
"SaraJBenincasa",10
"sfpelosi",6
"SGcatalyst",6
"Shoq",6
"sierrawallman",19
"silveracer44",8
"skunkwkrz",6
"SlaughterAM",16
"Smalltalkwitht",15
"smitty_one_each",7
"SooperMexican",14
"southernavenger",29
"Steele_Michael",22
"stillblazingtho",35
"studentactivism",23
"sullydish",46
"SunFoundation",13
"SupermanHotMale",14
"SusanECloud",9
"TeamBachmann",10
"TeamRickPerry",12
"teapartynation",7
"TeresaKopec",6
"TerryMoran",24
"TexasGrizzlette",6
"tgiovanetti",10
"thecaucus",6
"TheDemocrats",6
"TheFix",233
"THEHermanCain",47
"TheInDecider",6
"themoornextdoor",9
"TheNewDeal",17
"theonlyadult",6
"TheReidReport",15
"TheRickWilson",7
"TheRightDuff",7
"TheTeaParty_net",28
"TimAlbrechtIA",6
"TobinCommentary",6
"toddbarry",8
"toddstarnes",9
"TPPatriots",13
"TriciaNC1",13
"TUSK81",7
"txvoodoo",14
"umairh",10
"UnivisionNews",8
"washingtonpost",45
"whoiswillo",7
"WILLisms",26
"YoshuaDavis",14
