"source","target"
"Michael_Gannon",FALSE
"utahpolitics",FALSE
"LuvLuchia",FALSE
"EditeCT",FALSE
"_CammyBear",FALSE
"AbeOudshoorn",FALSE
"federicodigius1",FALSE
"RepBriscoe",FALSE
"utahpolitics",FALSE
"harlows_landing",FALSE
"glasterlaw1",FALSE
"LotusBlossum84",FALSE
"iemilybailey",FALSE
"NoWayNRA1",FALSE
"Stressed_Eric72",FALSE
"SimoneParini",FALSE
"NAMI_NYC",FALSE
"BipolarLine",FALSE
"meganmaccy",FALSE
"Ninnieshka",FALSE
"Handburgers",FALSE
"AACAP",FALSE
"heywoodb08",FALSE
"LiveBeautifulNw",FALSE
"Thepeacheditor",FALSE
"LaurinMilsom",FALSE
"thejoshuablog",FALSE
"ienekejansen",FALSE
"OliviaBaileyX",FALSE
"johneastborough",FALSE
"bhong20130",FALSE
"starlibra7",FALSE
"PrincessAdri113",FALSE
"Amy_Reid_Smith",FALSE
"alysontx",FALSE
"hannahlucie_",FALSE
"linnyitssn",FALSE
"EstebanGolkerts",FALSE
"left_lonesome",FALSE
"ScottyBoyGooner",FALSE
"AnnaBenHur",FALSE
"_KhaLeeL_",FALSE
"Whelts",FALSE
"JayandSteve",FALSE
"SchizophreniaRI",FALSE
"ggaffa",FALSE
"bannerite",FALSE
"Mama3Cubs",FALSE
"SLPbook",FALSE
"vickycannon95",FALSE
"AFC_GLEN",FALSE
"FlipswitchTeens",FALSE
"expedience2",FALSE
"APAPsychiatric",FALSE
"DallasSunny",FALSE
"beccaloveslouis",FALSE
"kezCholo",FALSE
"SynodComm",FALSE
"DappyPotter",FALSE
"Jmanlowe",FALSE
"celebdirtylaund",FALSE
"jah08",FALSE
"Kriskxx",FALSE
"CelebrityMaxim",FALSE
"JoeWhittome",FALSE
"PDHealth",FALSE
"AdamSilke",FALSE
"postsecret",FALSE
"anxtalk",FALSE
"bananaberger",FALSE
"TheRealEdwin",FALSE
"OhhPollyy",FALSE
"briannemcd",FALSE
"cordelainegiant",FALSE
"_henah",FALSE
"BossRainbowTink",FALSE
"kimberlytehcool",FALSE
"xwave21",FALSE
"sweetswatson",FALSE
"britttttyyy",FALSE
"sviggiano",FALSE
"jordanachs",FALSE
"Miareeva",FALSE
"MonsterCookie",FALSE
"carterradams",FALSE
"NomadicRaysFan",FALSE
"rachelae",FALSE
"Simon_Fenn",FALSE
"haboosma",FALSE
"callie_ashtonb",FALSE
"hellobrowneyes",FALSE
"RedFeatherWings",FALSE
"mcdiduch",FALSE
"MiraclesHere",FALSE
"SayraC",FALSE
"ProFootballZone",FALSE
"MarilynMonroe70",FALSE
"joyVonIll",FALSE
"jfarrar92",FALSE
"xsemisane",FALSE
"Davidkevin",FALSE
"EmilyHannahL",FALSE
"UptySciChick",FALSE
"griffinlaura",FALSE
"Up2SD",FALSE
"meredithelaine",FALSE
"gugubirds",FALSE
"mr_hypnotherapy",FALSE
"Johntrom75",FALSE
"JemmaaLeigh",FALSE
"J_Tawton",FALSE
"kmacdeezy",FALSE
"kfam",FALSE
"AndyOoops",FALSE
"Kathrine_neff",FALSE
"HortenciaLanton",FALSE
"ummsallymally",FALSE
"JCingari",FALSE
"tom_ruanee",FALSE
"AngerManage818",FALSE
"aresposito",FALSE
"reemarattan",FALSE
"natedawriter",FALSE
"hilltophereford",FALSE
"mynameskiwi",FALSE
"PixieRawh",FALSE
"Rhodes040",FALSE
"Prison_Health",FALSE
"cliptrend",FALSE
"FigleyInstitute",FALSE
"Ellie_Mackin",FALSE
"shapeshiftdream",FALSE
"TheJoyeRide",FALSE
"the1stStarr",FALSE
"afbwoman",FALSE
"katrinadem90",FALSE
"ChazWagstaff",FALSE
"DrKRandle",FALSE
"FollowBDT",FALSE
"naspn33",FALSE
"shamrocked9",FALSE
"Silver_Linings",FALSE
"aubreychristine",FALSE
"Groovurism",FALSE
"RobHoey",FALSE
"heytheretom",FALSE
"MajideDan",FALSE
"StoryAddict69",FALSE
"bedstuybelle",FALSE
"RoboticSteve",FALSE
"Sheri_Hunt",FALSE
