"source","target"
"CGD0027","Ritalynman"
"FloridaRogue","KerryPicket"
"StephenDGH","Clarknt67"
"joerut","rolandsmartin"
"Granite_Pundit","bdomenech"
"TuffLikeHuff","sierrawallman"
"Chandler1012","lostdogs20"
"trishrothgeb","AntDeRosa"
"ARCHAIC_SOUL","digiRT"
"jjb4430","NatJournalBaron"
"OldNorthState12","RobertBluey"
"LeviMargolin","GovGaryJohnson"
"diggaduh","michellekraus"
"PrisonReformMvt","PreDraX"
"MickiisaCainiac","blackrepublican"
"asher2789","RDevro"
"bassmaster12","LegInsurrection"
"cupmancmh","piersmorgan"
"CeasarAugustusP","JamesFallows"
"eviljessi","CharlesBivona"
"tshoes","southernavenger"
"illuminancy","TexanIndiana"
"kathleenfsams","piersmorgan"
"YvonneArnoldCRS","toddstarnes"
"Mrs_B_Mars","TheDemocrats"
"curiouscliche","anamariecox"
"mrmikeshelton","WILLisms"
"Un_FollowMe","jethang"
"leftnode","BorowitzReport"
"sleepwalkas","BorowitzReport"
"JonLundbom","toddbarry"
"DUhockeyFan","tgiovanetti"
"jedbook","aishatyler"
"ChrisBoese","SunshineCT"
"KatrinaPierson","alicetweet"
"JoeMenifeee","meglanker"
"NestofViperss","HuffingtonPost"
"Lbrty77","greybeard411"
"JoseSnillums","goodinohio"
"tmoorepr","ashong"
"afc33125","cliffschecter"
"MichaelCPriest","David_Feldman_"
"Korlis","dandrezner"
"jonward11","rickklein"
"Evan_Thompson","Pres_Bartlet"
"gwbertsch","DavidMDrucker"
"Princessalycia7","AnonyOps"
"sarahblackstock","drgrist"
"scoopercooper","BorowitzReport"
"oOPlayHouseOo","rationalists"
"SaveOn1017","as_promised"
"OutofNH","piersmorgan"
"MurnPost","drgrist"
"joerut","rolandsmartin"
"Mr_Gman1026","SenoritaPacheco"
"steve_dare_me","BorowitzReport"
"AJogee","Pres_Bartlet"
"StuNeff","Tom1247"
"TH3Freedom","AnonyOps"
"StephenBabe","TheFix"
"Lkbleu","JoyVBehar"
"RionVI","rationalists"
"kingcherub","southernavenger"
"AmericaNeedsMR","WftRight"
"WilliamHartung","armscontrolnow"
"AScreamingBird","LibertyPoet"
"TPGee","blackrepublican"
"PurcellforGA","KenInEastman"
"arra","Heritage"
"lookupfolks","Afterseven"
"jasonthealaskan","GaltsGirl"
"BridgetCusick","Travis_Burton"
"JedediahBila","FingersMalloy"
"joeventures","D_Stockley"
"dennisATTACKS","IngridGergmen"
"FloridaRogue","PolitixGal"
"tonyalmq","BorowitzReport"
"Tori_Lennox","kesgardner"
"jermajesty_tff","adammc123"
"joyomama","Drawmark"
"PhatCharlie1","drgrist"
"MegE_N","derekahunter"
"Occupyurmind","an0nyc"
"hollabingbang","twedt2t"
"TuffLikeHuff","sierrawallman"
"Morgan_Malpass","rdsanchezjr"
"RonMeyerJr","Blaze_ChrisS"
"shortformblog","piersmorgan"
"bleedinwhiskey","whoiswillo"
"Pheistyone","keder"
"usbsnowcrash","GoldnFrnknstein"
"chapman319","MulliganStew63"
"Memphiscar","piersmorgan"
"andrewbingham7","jeremyscahill"
"conservative__","politicallogic"
"ellieohiso","BorowitzReport"
"TV_Agent","UnivisionNews"
"DanMartin_cards","atlasshrugs"
"zeb0r","AnonyOps"
"plutoniumpage","armscontrolnow"
"Nick603","TheFix"
"jlaich","dandrezner"
"WestCoasChops","adampopescu"
"getsocialsavvy","rolandsmartin"
"UbaTheDiplomat","marissaaevans"
"curiouscliche","pandagon"
