"","x"
"#cnndebate",12
"#CNNdebate",14
"#CNNDebate",11
"#CNNDEBATE",3
"#cnndebate ",4
"A no fly zone over syria? We have no interest in Syria.  Let's take care of our issues first. #cnndebate #teapartynation #tcot #gop2012",3
"computers before you leave office. #Romney #cnndebate",3
"Could ron Paul possibly be any more incoherent?  #teapartynation #cnndebate #tcot #gop2012",3
"GOP question: &quot;What is the one national security issue you worry about that no one is asking about today?&quot; Jihad! #CNNdebate",3
"Ron Paul's foreign policy, unilateral surrender.  #cnndebate #teapartynation #tcot #gop2012",3
"RT @_pius: Herman Cain just claimed he was a computer scientist early in his career. #FactCheckPlease #MindBlown #CNNDebate",4
"RT @2chambers: Surprisingly little mention of China at this debate. nothing on Senate's China currency bill? #cnndebate",3
"RT @AAIUSA: Too much Glenn Beck watching? #Santorum worries about Socialist-Islamist militant alliance taking over #CNNDebate",3
"RT @abesauer: &quot;I'm a white male with the white male foundation. What are the interests of....&quot; #cnndebate",3
"RT @abrahamjh: Syria imports a lot of oil... They don't have that much to export Herman... #CNNDebate",4
"RT @AC360: &quot;Believe me, the kids can still get the drugs. It just doesn't work&quot; - Ron Paul #WarOnDrugs #CNNDebate",19
"RT @AC360: I do not believe that people of the U.S. are going to take people who have been here for 25 years...and expel them - #Gingrich #CNNDebate",4
"RT @acarvin: Cain: wouldn't support a Syria NFZ. Would push for allies to not buy Syrian oil. #cnndebate",7
"RT @acarvin: Huntsman: we ignored the Persian spring 2 years ago yet went into Libya with no real natl interest. Israel is our natl interest. #cnndebate",4
"RT @acarvin: Perry: Syrian NFZ is one of several ways to pressure regime. Syria is a partner with Iran on exporting terrorism. #cnndebate",6
"RT @ACLU: @RonPaul tells #CNNDebate &quot;you don't have to give up liberty to provide security,&quot; or as we like to say: &quot;safe and free.&quot;",3
"RT @ACLU: News to us: At #CNNDebate, @MicheleBachmann claims Interrogation of terrorists has been &quot;outsourced&quot; to @ACLU.",5
"RT @addiestan: Bachmann: &quot;We won the peace in Iraq.&quot; Tell that to the Iraqis being blown up every day. #CNNdebate",4
"RT @AdeleinTexas: @GovernorPerry is RIGHT ON! He GETS it!  Securing the border is JOB ONE! @TeamRickPerry #tcot #CNNDebate  #TeaParty",5
"RT @Adenovir: Herman Cain: I support a no fly zone. Those things carry germs, you know. #CNNDebate",4
"RT @ADIOCHAIN: Go Cain!  #cnndebate",6
"RT @afwjam: Ron Paul is the number one trending topic on Twitter. #RonPaul #CNNdebate",7
"RT @afwjam: Ron Paul promotes the golden rule and says we should mind our own business at the #CNNdebate #ronpaul #tcot #tlot #teaparty #GOP2012 #win",7
"RT @aishatyler: &quot;My name is Michele Bachmann, and for every point I lose in the polls, I apply one more layer of eyeshadow.&quot; #cnndebate",3
"RT @aishatyler: And Ron Paul wrapped up his foreign policy summary thusly: &quot;Hey you kids! Get off my lawn!!!&quot; #cnndebate",15
"RT @aishatyler: Did Santorum just call Africa a country? Oh. Dear. F*^king. Lord. #cnndebate",3
"RT @aishatyler: Here comes Huntsman w/big words like &quot;fissile,&quot; &quot;pan-arab&quot; &amp; &quot;diplomacy.&quot; Hint #2: don't bring intelligence to a knife fight. #cnndebate",24
"RT @aishatyler: NOW Ron Paul is attacking prescription drugs. What will Real Hollywood Wives do with their afternoons if he is elected president? #cnndebate",3
"RT @AKr3volution: #RonPaul has been right for decades. proof - http://t.co/LAVm2lx6 #ronpaul2012 #tcot #election #cnnDebate #blackthisout #constitution",3
"RT @alelanca: why isn't our interest in the middle east peace? #cnndebate",4
"RT @AlexDictates: Ron Paul is the man, he is the only person who is capable of running this country into the future @RonPaul @piersmorgan #cnndebate",4
"RT @alexwagner: Nat security/foreign policy debate wrapping up with approx negative zero time spent on China or The Great Melting Eurozone. #cnndebate",10
"RT @alpha1906: #cnndebate Let's just cut to the chase: Herman Cain is stupid.  Not dumb, stupid.  Not ignorant. Stupid.",4
"RT @an0nyc: #CNNDebate This is a shit show.",4
"RT @anamariecox: Ask Jeeves? RT @attackerman: Who does Romney's out-of-context Googling? #cnndebate",3
"RT @anamariecox: So, there's going to be a surprise question from Cheney at the end, huh? I mean, surely... #cnndebate",10
"RT @andreamsaul: .@MittRomney: Secure our border, protect legal immigration, return to a system that follows the law #Mitt2012 #CNNDebate",6
"RT @anildash: #GOPDebateQuestion Do you pledge not to pursue war crime prosecution against the Taliban when they waterboard our soldiers? #CNNdebate",3
"RT @anildash: #GOPDebateQuestion Why is it a bad idea for Muslim nations to practice theocracy but good for the U.S.? #CNNdebate",12
"RT @anildash: #GOPDebateQuestion Why was President Obama's handling of Libya so much better than Bush's handling of Iraq? #CNNdebate",3
"RT @anildash: #GOPDebateQuestion Why would the U.S. be better with your immigration policy which would've kept Steve Jobs from being born here? #CNNdebate",5
