"tweetscreenamecounts","Freq"
"",117
"___iw___",1
"__danielaaaa",2
"__kf",1
"__sweetheartiam",3
"_3dimesdown",2
"_air_inn_",1
"_airplanemode_",1
"_alishagayle_",3
"_andybaby",1
"_bellamorena18",3
"_chay",1
"_deepsea",1
"_erock",7
"_event_horizon",1
"_freebird",2
"_fuckswagg",1
"_iam_coco",1
"_iambrittnee",2
"_ifound2pac_",4
"_joebirdsong",1
"_joecephus",1
"_la_sola_",2
"_lastofmybreed",1
"_markallen",1
"_mattgiles",2
"_mcclellan",1
"_monocle_",1
"_ms_r",1
"_mykee",2
"_navesink_",2
"_nik_lee",2
"_nosa_",1
"_pius",3
"_plussignvibes",1
"_rachelrichard",3
"_rochellec",2
"_roopsandhu",1
"_rynasaur",2
"_salacious_",1
"_saladinho_",1
"_scorch_",5
"_shelleym",1
"_sherdog",1
"_sik",1
"_sirlogophile",1
"_sperm_donor_",1
"_stephrose",5
"_terroirism_",2
"_todd_",2
"_unfair",3
"_whitewidow",1
"_xomar",1
"_youcancallmeb",1
"_yup",1
"_zomg",6
"00dran",1
"04trojan",1
"0i03",7
"0rganicmakeup",1
"100billion",3
"1115",2
"12minds",1
"12nevergiveup",1
"13oclock",11
"140elect",3
"16federico",1
"1984to1776",1
"1aceofspades",1
"1bertoc",1
"1libertybelle1",1
"1man3ladies",1
"1mkoinange",2
"1sg_waynelauton",1
"1soulfuldude",1
"1sportsguy",1
"1takejake",1
"1whoknu",1
"2012__president",6
"2012groups",1
"2012newyr4cain",2
"20cc0",1
"21law",1
"24shanj",1
"26mjw",1
"2chambers",1
"2cool4mn",6
"2doubleeagles",1
"2fast2finkel",2
"2pretty2envyu",1
"2pups2manycats",1
"2think55",3
"2wenty",8
"2won6",4
"3asfoorr",1
"3chinbreitbart",4
"3m0ss",2
"3rdbowloporidge",2
"3ristar",1
"3rkid",1
"3starstrategies",1
"3storybooks",1
"3xthreat",1
"40acre_loko",1
"420dailynews",1
"420dankasodmg",3
"420kingspade_",2
"4b5",1
"4eversafiya15",4
"4kast",1
"4point0show",1
"4roxanne",4
"4urnv",1
"4worlddemocracy",1
"51877",3
"5durtywordz",1
"5meo_crawford",2
"5stringjeff",7
"75words",3
"7calypso",1
"7tenuto7",2
"7uriya_",2
"87realt",1
"88paolo",4
"912projbuffalo",3
"971fmtalk",2
"999draw",6
"9andhennepin",6
"a_abidi",2
"a_bonus_ham",1
"a_irizarry21",1
"a_nem",2
"a_nicole20",2
"a_rovedo",1
"a_thinkinggirl",1
"a11y00p",3
"a22523",2
"aadragna",3
"aaiusa",8
"aakashraut",2
"aaronburns",3
"aaroncynic",1
"aaronimarcus",3
"aaronkrager",1
"aaronlmorrison",3
"aaronmentele",1
"aaronruiz_",4
"aaronsentell",1
"aaronspagnolo",1
"aaronviasad612",1
"ababiarz",1
"abbeylakey",1
"abbydabba",1
"abbymichelle09",1
"abbyoverstreet",1
"abc7scott",1
"abcclark",2
"abcdgaf",1
"abcpatriot",1
"abenton",1
"abesauer",6
"abgravely",2
"abhilashn",1
"abiedweck",2
"ablahrere",2
"ablastoise",1
"abolishthelies",1
"abookboundlife",1
"aborttebow",2
"abrahamfarooqi",1
"abrahamjh",2
"abuhatem",5
"abumustashriq",1
"ac_bravo",2
"ac_rebecca",1
"ac360",2
"acadia14",1
"acarvin",3
"acarygrantfan",2
"acase23",1
"acask",1
"accordingtome24",2
"acdems4change",5
"aceledon3",1
"acetropaq",1
"acl2315",1
"aclupa",1
"acmephoto",1
"acocotas",4
"acostabeta",4
"acostuhhh",1
"activeagent",1
"activlizm",2
"actnow_ny",2
"actuallyadrian",1
"actuarygambler",1
"acuteduck",2
"acwriter01",2
"acwzywabit",2
"adambevans",1
"adamblickstein",1
"adambodily",5
"adambrimer",1
"adamclev",1
"adamdjacobson",13
"adamdulaitis",2
"adamfergus",3
"adamgcrews",2
"adamgent5",1
"adamgregg16",1
"adaml_in_htown",1
"adammc123",2
"adammotzko",1
"adampknave",1
"adampopescu",5
"adamschopper",1
"adamthompson85",1
"adamultraberg",9
"adamwallace0517",3
"adbridgeforth",1
"adcarbaugh",2
"addetwit",1
"addiestan",9
"addteach",1
"adencrockertwit",1
"adenovir",15
"adewole101",1
"adilraza",1
"adina_oditt",1
"adiochain",3
"adoughty7",2
"adragon",1
"adrianavalega",1
"adrianmc5",2
"adrianne44",2
"adubs132",1
"adventurepic",2
"advrah",2
"adwardrett",1
"ae53",1
"aei",2
"aem76us",1
"aerialpenguin",2
"aetelier",1
"aew1",1
"aezwerdling",1
"afc33125",7
"afed",1
"afetherolf",1
"aff_dc",3
"afgutierrez",2
"afithianruby",2
"afmjen",1
"afontici",1
"africanprospect",2
"afrobeatz",4
"afrodeezyak",1
"afrohorror",1
"afrosack",1
"afrowq",1
"afterseven",6
"afwjam",2
"agathagikunda",1
"agentlambos",1
"ageofbrillig",1
"agfelpaso",3
"agflores",1
"aggiashagre_",1
"aggieben",9
"agil3beast",1
"agindc",8
"agray25",1
"aguynamedtito",2
"aguyonclematis",1
"ahaight",1
"ahdiaz",4
"ahh2fly",3
"ahmad_akar",2
"ahmnodtheare",1
"ahwahoo2006",1
"ahybs",1
"aiken_head",1
"aileen_decuir",1
"aimeeb262",1
"aimeemonahan",3
"aimiosiorgreg",1
"ainedoley",3
"ainttheolddays",1
"aipolitics",3
"aisb23",1
"aishatyler",3
"aj925",1
"ajaymehratdot",5
