"","x"
"_iFound2Pac_",3
"_StephRose",4
"13oclock",4
"420DankaSODMG",3
"4eversafiya15",3
"88paolo",3
"a11y00p",3
"AAIUSA",3
"abuhatem",4
"afc33125",3
"AGinDC",3
"ainedoley",3
"ak2sandiego",4
"alejandro88",3
"alexrharrington",5
"allanbrauer",4
"AlvinsMom",4
"Amadii",3
"AmericaNeedsMR",3
"andrewmcintyre",3
"animalfriend1",3
"annepenketh",3
"AnonymousCowar4",4
"AntheaButler",3
"arra",3
"Artco77",4
"ashmont",3
"AsianConsBlog",4
"asimk29",3
"Averoes81",3
"Barbiewithatude",3
"BBachner",3
"Be4Long",4
"Beautyon_",3
"bellanerdette",3
"BenjaminSauceda",6
"BiesanAK",3
"billck",5
"billy0504",4
"bkb2443",6
"blackrepublican",4
"BlackSheepRpt",5
"blackstaff01",3
"blackthisout",3
"Blakegober",3
"blatta_in_al",3
"BldingTBettrMT",3
"bluedevildavey",5
"BMARTINofSC",5
"BobzGone",4
"brianarrhea",4
"brianbeutler",3
"brianjcarroll8",4
"BritannyWasHere",3
"bromoore",4
"cactidoll",3
"CallMeJen27",3
"cardosoginny",3
"Carmouflagger",3
"caseyloper",3
"CelticLiberal",3
"CFHeather",3
"CGD0027",7
"chapman319",3
"charlesgarrison",4
"chearn73",3
"chhezecake",3
"chrisgolden",3
"ChrisOnly1USA",4
"Chrisposure",3
"ChristianABerle",6
"CindyMercurio",4
"CircleOfTwo",4
"Clarknt67",4
"ClassClownKJL",3
"coffeefaery",3
"conncarroll",3
"conorreid",4
"conservative__",3
"corrcomm",4
"CRENpolitics",4
"cTiger2",3
"cupcake4120",4
"curiouscliche",3
"Dale4Congress",3
"dan_munz",3
"darrenreid",3
"davidbandler",3
"DCPlod",3
"DeanWJackson",3
"debbiebess",4
"DespicableCoco",3
"dglasscock",5
"DGraham39",3
"DJabbot",3
"dmmckinney",3
"DMVPersianQT",3
"DonaldPretari",4
"DRINKN_H8ERADE",6
"drjwalk",3
"DrRLeblanc",3
"DSStateofThings",3
"DUANEMADDY",4
"eclecticbrotha",3
"eduardosuarez",3
"el_cseh",3
"EleanorWhitel",3
"Ella_6",3
"ellekay_",3
"elmundoamerica",3
"emilylhauser",3
"ericessagof",3
"erinhaust",4
"esfaceblack",4
"eshowman",3
"evilgrrl",4
"ExcitingGrowth",7
"faceman68",3
"fadboo",3
"FairTaxNancy",4
"FinchHaven",3
"fleonyleon",3
"Flintlox",3
"floridajewel",3
"FloridaRogue",3
"FlywayFilmFest",3
"FoL2009",3
"ForeignPolicy4u",4
"Free_Radical1",3
"FunCoolChickie",3
"GABullDog067",3
"GarbledMsg",4
"gcoldrag",3
"glenmcdaniel",3
"good4politics",3
"GOPBlackChick",3
"gordonfactor85",4
"Grieboski",3
"gsbatiste",3
"gwbertsch",3
"h011y_",3
"HackersCantHide",3
"hafsamohamed1",3
"Hardline_Stance",4
"harrisgraber",3
"HeckYaDangIt",3
"HighleyUnbound",4
"hismerecry",4
"hollabingbang",5
"HollywoodRepub",3
"HolyBats",11
"honorsocietyfan",6
"HowellHeflin",3
"ianpratt01",3
"igetgreens",3
"IgnoreRonPaul",5
"impoTex",4
"inathanael",3
"info4liberty",3
"InsideTheNumbrs",3
"IsThisATweet",3
"itsfortheladies",4
"ivyhurst",3
"jacobkornbluh",3
"jailer98",4
"jascalese",3
"jasonjalves",3
"JCHARAL",3
"Jcoltrinari",7
"Jenevalynne",3
"JeremyDanilson",5
"jjauthor",3
"jmofaustin",3
"joedope",3
"joelhousman",3
"JOHN_LUND",3
"JohnyFarrina",4
"jojo21",3
"JoLo219",3
"jomaxx",3
"JOnAthAn4RealZ",3
"jonathonmc",3
"Jones2Jenn",3
"JonHuntsman12",3
"JoshuaMolina",3
"joyomama",3
"jreidfla",3
"jwisser",3
"kacisptx",6
"kakeenan",3
"KaliZara",3
"Katie_Speak",3
"kaufman10",3
"KazAnnette",5
"keeptexasfreaky",3
"kiaramillerr",3
"kid4meus",4
"Kim_AE",3
"KiNg_TaHarQa",4
"kishkafka",3
"kjubeau",3
"Kokopelli_49ers",3
"krteasley",3
"ksa4liberty",3
"KSTAR102TALK",3
"KwayDay",4
"KyleKuhn",3
"laceylm",3
"lanceorchid",4
"larimah",3
"larrydevorejr",3
"LAZ39",4
"Lbrty77",3
"leebeegee3",3
"Libby71",3
"libertyspot",4
"LittleFlos",5
"LizWas",3
"lnhoran",4
"loganm111",3
"lookupfolks",3
"louiietae",5
"luisestrada_",3
"lurainpenny",4
"MadisonWarner",4
"MainBrotherCain",3
"marcslove",3
"MariaNYC",3
"markwhitt1",3
"martin061360",3
"mattarundel",3
"MaxeenDeniro",4
"MaxwellAMooney",3
"mayraisapanda",3
"Mayssia",5
"MBTI_Geek",3
"mdrfl",3
"MegE_N",3
"MessierLights",3
"metaquest",4
"MickiisaCainiac",4
"Mike_Zawadzki",4
"mikeclouser",4
"mjjregan",3
"MLevoff",3
"MnaAhmd",3
"mneuberger",4
"mombizzz",3
"MorgaineSwann",3
"mrbenz7",3
"mrjackcoleman",3
"MrNickDyer",3
"mrsqspn",3
"Ms_Rena",3
"mshotspot70_kc",3
"mv_grouch",3
"mweinand",3
"MWJ1231",3
"mytngenes",4
"mzeglevski",4
"mzkbfly",3
"NatAlejandrino",3
"nds0581",3
"nhycoljenner",3
"NiceDeb",3
"NimboKatz",3
"nolesfan2011",7
"NPSusa",3
"NYKellen",3
"OccupySecession",3
"OhioforHuntsman",6
"OK_America",3
"OldNorthState12",4
"Our4thEstate",3
"Padoozles",4
"PaisleyPosey",5
"ParadigmShiftII",3
"Patriot2USA",4
"Paula_Dockery",4
"PaulSnatchko",4
"payoladeville",3
"perfectly",3
"PhattyF",3
"PhoenixWomanMN",3
"pingjockey68",3
"pistolpatty75",4
"PJF48336",3
"Political_Logic",4
"porsche4848",3
"powerxdump",3
"Praying4Cain",3
"prismsinc",3
"profblmkelley",4
"professimous",3
"profg",4
"psddluva4evah",6
"PsychicLisaLong",3
"puckers",4
"rachb314",3
"RALPHREMINGTON",4
"Ramon_HYFR",6
"RCHilln",3
"rdyer",3
"RealEstateSally",3
"Revo_olutionary",3
"RhondaBentz",5
"Rhondako",4
"ribletsonthepan",3
"rich7200",3
"riffraaf",3
"RightMinority",3
