from_user,to_user
forwardourmotto,cjliebmann
gjzielinski,Thom_Hartmann
ProseAndThorn,edshow
maggiemessitt,sailvarmint
OutForEquality,sentaylor
RetrieverPoint,sentaylor
triumph68,edshow
ntw853,gretawire
annelyttle,ShitScottWalker
JimRpe,EdShow
TomBrokenjaw,BrownDeerRepub
nomorespend,unkybunky
StandUpWis,GovWalker's
BumblingBeard,WSJbeerbaron
WisDems,GovWalker
andersonatlarge,EPWisco
StandUpWis,Conservativeind
Pworldawg,unkybunky
lluttig,MarkPocan
adjahbear,Progress2day
deafear,reppaulryan
lluttig,NicholsUprising
Progress2day,sweet1kim
deafear,maddow
HalloweenBlogs,NicholsUprising
50isthenew50,polymath22
Jane_WI,lcranston1939
StevenSchuster,SteveWisDems
MidwestPhoto,magirck
AmyBarrilleaux,onewisconsinnow
Jane_WI,lawsonbulk
chinesebuffeter,TheDudekAbides
Afterseven,GovWalker
GilesMcK,ToddKincannon
Afterseven,GovWalker
Afterseven,GovWalker
AmyBarrilleaux,Barrett4WI
timwegener,chucktodd
Afterseven,GovWalker
Afterseven,GovWalker
Afterseven,GovWalker
madturtle65,CA4Palin
sweet1kim,politicalwire
sweet1kim,Muxywithmoxie
coldcarryouts,wisaflcio
JakeMillerWis,620WTMJ
Jane_WI,lcranston1939
IAFFNewsDesk,WeRWisconsin
Jane_WI,lcranston1939
WorleyDervish,LoriCompas
IAFFNewsDesk,Bob54401
Zachary_Hicks,MattBatzel
Zachary_Hicks,UWConservatives
kdbenish,MSpicuzzaWSJ
sierranolandely,GladysHuber
sierranolandely,DefeatVos
AndrewFranczyk,FalkforWI
JakeMillerWis,CoffeeBean26
TEvansBuhr,DefendWisconsin
sweet1kim,bluecheddar1
WiselinePRT,TheBradBlog
AmyBarrilleaux,WiscJobsNow
unkybunky,GovWalker
ctaylor64,Muxywithmoxie
Mrwondra,WIvoices
Fiona_Cahill,jordanmcevoy
leftistcocktail,PhilipStl
TEvansBuhr,DefendWisconsin
808lika,FreeRangeNan
WI4Perry,LOrion
JakeMillerWis,BetoGuero
StandUpWis,GovWalker
JStolzPaRTW,OurCountryPAC
StandUpWis,GovWalker
Muxywithmoxie,MahlonMitchell
UnitedWisconsin,WI4Perry
Coginwi,MahlonMitchell
Jane_WI,lcranston1939
LoraRae,YesWeMcCann2012
TomLavinNH,Lord_Chadeous
TomLavinNH,Lord_Chadeous
lluttig,edshow
unkybunky,aprildgregory
aprildgregory,SpudLovr
RyanSupple,jrios68
sweet1kim,SpudLovr
HenryDubb,Progress2day
HenryDubb,JonErpenbach
Philoshow,falkforwi
HenryDubb,JonErpenbach
HenryDubb,JonErpenbach
HenryDubb,JonErpenbach
DevonTMCook,CornelWest
ImNotScotWalker,UKProgressive
lluttig,Irenie_M
sweet1kim,SpudLovr
HenryDubb,JonErpenbach
HenryDubb,JonErpenbach
HenryDubb,JonErpenbach
joan_evans_nyc,superguts
kdbenish,annalthouse
Jane_WI,lcranston1939
deafear,onewisconsinnow
ScottWalkersSUV,Camtacular_
nomorespend,sjzep
55Bentley,sjzep
kdbenish,pryerheather
nomorespend,polymath22
nomorespend,polymath22
DefeatVos,RepVos
netminnow,SpudLovr
netminnow,MediocreDave
ilkSJ,HalloweenBlogs
nomorespend,unkybunky
arieswym,sjjphd
nomorespend,SooperMexican
ProudCERT,CapTimes
muttmutt,ATinMKE
StandUpWis,channel_3000
BarddeBelmont,nomorespend
leftistcocktail,rossacrosswi
StandUpWis,WKOW
BenjaminSparks,WisDems
AndrewFranczyk,FalkforWI's
StandUpWis,TODAYSTMJ4
ListenUnitra79,TammyBaldwinWI
Jane_WI,lcranston1939
BenjaminSparks,FalkForWI
madturtle65,AIMilCon
demjeff,BenjaminSparks
StandUpWis,WBAY
mscottdjh,haymakers
RedWisconsin,GovWalker
WI4Perry,GovWalker
StandUpWis,WEAU13News
unkybunky,logboy73
StandUpWis,WKOW
55Bentley,pmkleppin
Meg_Moen,GovWalker
JakeMillerWis,DefeatVos
RedWisconsin,brewpackred
deafear,edshow
JakeMillerWis,MadPolitics
gunnjim,NicholsUprising
WiscoLuvr,Barrett4WI
55Bentley,AmyBarrilleaux
solidaritysarah,workingwa
JakeMillerWis,MadPolitics
JakeMillerWis,MattBatzel
Progress2day,MahlonMitchell
solidaritysarah,workingwa
StandUpWis,GovWalker
muttmutt,BenjaminSparks
BenjaminSparks,WisDems
StandUpWis,CBS58
StandUpWis,WSAW
StandUpWis,nbc15_madison
StandUpWis,ATTCustomerCare
StandUpWis,WalMart
StandUpWis,exxonmobil
StandUpWis,WXOW
StandUpWis,gsk
StandUpWis,PhRMA
Hav99,HuffPostPol
jgodersky,Schneider_CM
unkybunky,wi_defender
LLHM,wi_defender
netminnow,ICUScottWalker
badgerfans4fair,johnmellencamp
Michael_Haz,melchert
dp_v2,daharaDreams
RWwatchMA,StateFarm
WI4Perry,GovWalker
WI4Perry,NicholsUprising
nomorespend,slyinthemorning
nomorespend,HenryDubb
StandUpWis,NBC26
StandUpWis,Diageo_News
AmyBarrilleaux,WTDY
AmyBarrilleaux,WTDYnews
NotHappyRepub,govwalker
StandUpWis,WCCO
StandUpWis,Motorola
madturtle65,ClariciaQ
ntw853,CShields1992
GoForWojo,SenTerryMoulton
kdbenish,TPM
GoForWojo,KeithOlbermann
GoForWojo,maddow
StevenSchuster,lukebroadwater
Homefrontllc,jbrady77
rhytonen,BuddyRoemer
Pworldawg,cr8f
Jane_WI,lcranston1939
schechen93,SykesCharlie
ListenUnitra79,UnitedWisconsin
RedRobina,Progress2day
unkybunky,RWwatchMA
sweet1kim,SpudLovr
BarbCaffrey,edshow
RedWisconsin,JBVanHollen
kdbenish,FalkforWI
sweet1kim,kevinjk
WI4Perry,GovWalker
DRBurnett,wendykloiber
nomorespend,dougiepen
StandUpWis,generalelectric
StandUpWis,amazon
StandUpWis,Microsoft
StandUpWis,kfc_colonel
CoachKubes,WeGotEd
StandUpWis,GM
StandUpWis,AB_Cares
StandUpWis,ReedElsevierHQ
RedWisconsin,JBVanHollen
StandUpWis,SRPconnect
UnitedWisconsin,GovWalker
zokolady,GovWalker
lluttig,GovWalker
BenjaminSparks,WisDems
muttmutt,BenjaminSparks
StandUpWis,IBM
StandUpWis,GovWalker
Catballou,SER1897
SouthsideZorro,VickiMcKenna
madturtle65,teeocee
StandUpWis,Sony
SouthsideZorro,mediatrackers
StandUpWis,ups
StandUpWis,ups
StandUpWis,Walmart
SouthsideZorro,GovWalker
StandUpWis,hp
sweet1kim,sbauerAP
StandUpWis,AmericanExpress
kap_n,govwalker
StandUpWis,Ticketmaster
StandUpWis,Pennzoil
StandUpWis,ProcterGamble
StandUpWis,MillerCoors
StandUpWis,AltriaNews
StandUpWis,AltriaNews
StandUpWis,United
StandUpWis,Verizon
Aqua_Buddah,GovWalker
Aqua_Buddah,TheDemocrats
LanceConners,TheDemocrats
StandUpWis,SaraLee_Corp
rodgers_jeff,jwigderson
wtdynews,WEAC
unkybunky,SpudLovr
StandUpWis,Outback
StandUpWis,SRPconnect
zokolady,GovWalker
sweet1kim,rcooley123
unkybunky,JuneStar99
Bobacheck,MadPolitics
worldoccupation,ColbertReport
nomorespend,slyinthemorning
StandUpWis,ATT
StandUpWis,Outback
SouthsideZorro,GovWalker
SouthsideZorro,gjzielinski
StandUpWis,ShakleeHQ
BrettHulseyWI,GovWalker
BrettHulseyWI,AmyBarrilleaux
BrettHulseyWI,Muxywithmoxie
StevenSchuster,govwalker
SouthsideZorro,SykesCharlie
madturtle65,GovWalker
StandUpWis,Prumerica
WalkerRecall012,GovWalker
StandUpWis,alliantenergy
worldoccupation,ColbertReport
WalkerRecall012,GovWalker
frogetteca,LOrion
Notgvn,nomorespend
paellacook,bluecheddar1
BenjaminSparks,WeRWisconsin
worldoccupation,ColbertReport
sweet1kim,SaberGato
tommytrc,ScottWalkersSUV
ScottWalkersSUV,tommytrc
bldrgrl,DLoesch
StandUpWis,FedEx
StandUpWis,JohnDeere
StandUpWis,CaterpillarInc
StandUpWis,GovWalker
Jane_WI,lawsonbulk
StandUpWis,IBM
StandUpWis,GM
StandUpWis,AB_Cares
StandUpWis,kfc_colonel
StandUpWis,Alcoa
StandUpWis,generalelectric
StandUpWis,Alcoa
StandUpWis,generalelectric
unkybunky,nomorespend
StandUpWis,libertymutual
unkybunky,lheal
lheal,unkybunky
StandUpWis,supervalu
StandUpWis,Eli_Lilly
unkybunky,cr8f
StandUpWis,arco
StandUpWis,AstraZeneca
C_butter,RogCitysMom
kyleolson4,DLoesch
StandUpWis,bmsnews
StandUpWis,ChryslerAutos
StandUpWis,coldwellbnkr
StandUpWis,DowChemical
sweet1kim,zbleumoon
StandUpWis,DuPont_News
kdbenish,legaleagle
unkybunky,BrownDeerRepub
jdahlberg1,MMFlint
55Bentley,hershinmad
StandUpWis,nomorespend
lluttig,NicholsUprising
nomorespend,polymath22
StandUpWis,MaryKayGirlz
55Bentley,AmyBarrilleaux
kdbenish,WeGotEd
deafear,repvos
SouthsideZorro,ScottandDanelle
SouthsideZorro,GovWalker
JakeMillerWis,UWGOP
leslieamsterdam,NicholsUprising
unkybunky,nomorespend
StandUpWis,nomorespend
StandUpWis,Humana
leslieamsterdam,kelly8sully
StandUpWis,IPPcolaProject
superbranch,cr8f
SouthsideZorro,mediatrackers
StandUpWis,jcpenney
worldoccupation,webzombie99
StandUpWis,Merck
StandUpWis,Micron_Giving
StandUpWis,exxonmobil
StandUpWis,MonsantoCo
MidwestPhoto,mariannesp
leslieamsterdam,bluecheddar1
leslieamsterdam,Ian_Murphy
paellacook,WAOW
TheTrollRoller,nomorespend
leslieamsterdam,Ian_Murphy
babaoreilymike,GovWalker
rodgers_jeff,gjzielinski
StandUpWis,GovWalker
StandUpWis,GovWalker
lluttig,Morning_Joe
StandUpWis,nbc15_madison
StandUpWis,Novartis
gjzielinski,WisGOP
StandUpWis,BofA_News
rodgers_jeff,gjzielinski
StandUpWis,generalelectric
StandUpWis,Alcoa
StandUpWis,Walmart
SouthsideZorro,VickiMcKenna
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
crefan7860,BenjaminSparks
DanDoranBlum,RebeccaforReal
SouthsideZorro,GovWalker
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
guntotingteabag,WhitefishBPatch
SouthsideZorro,GovWalker
BenjaminSparks,WeRWisconsin
rodgers_jeff,gjzielinski-
StandUpWis,3MNews
rodgers_jeff,SykesCharlie
StandUpWis,UHGCareers
PatGarrett92,AndySuchorski
StandUpWis,xcelenergy
StandUpWis,Cargill
StandUpWis,CorrectionsCorp
SouthsideZorro,briansikma
StandUpWis,StateFarm
WI4Falk,FalkForWI
zokolady,GovWalker
SouthsideZorro,VickiMcKenna
kdbenish,FalkforWI
allan3t,michellemalkin
muttmutt,Eastonbauer
unkybunky,JakeMillerWis
JakeMillerWis,unkybunky
WI4Perry,Jack2John
NotHappyRepub,govwalker
NotHappyRepub,rebeccakleefisch
Nayrue,ShooterOneSix
robteed,TheFix
SouthsideZorro,VickiMcKenna
ClariciaQ,wisaflcio
SouthsideZorro,GovWalker
SouthsideZorro,ScottandDanelle
SouthsideZorro,VickiMcKenna
SouthsideZorro,GovWalker
SouthsideZorro,RebeccaforReal
olsonADAMk,ScottKWalker
SouthsideZorro,michellemalkin
SouthsideZorro,GovWalker
leslieamsterdam,NicholsUprising
SouthsideZorro,VickiMcKenna
SouthsideZorro,WaukeshaGOP
MikeLoweReports,GovWalker
pack_go,AskYnow
SouthsideZorro,WaukeshaGOP
AskYnow,pack_go
RebeccaforReal,ChrisLoesch
SouthsideZorro,briansikma
DrDanEng,swell
pack_go,AskYnow
fireishot4u,IAFFNewsDesk
rodgers_jeff,gjzielinski
JakeMillerWis,DefeatVos
StandUpWis,arco
StandUpWis,Sony
SouthsideZorro,GovWalker
SouthsideZorro,RebeccaforReal
SouthsideZorro,RebeccaforReal
StandUpWis,Microsoft
rodgers_jeff,PeterWBarca
BobEwoldt,iminshock
BobEwoldt,southsidezorro
rodgers_jeff,PeterWBarca
guntotingteabag,rootriversiren
seanhackbarth,elizcrum
RatedRepublican,brifred
iminshock,NicholsUprising
SouthsideZorro,briansikma
james_bkelly,ScottKWalker
SouthsideZorro,gjzielinski
james_bkelly,ScottKWalker
madturtle65,GovWalker
iminshock,neekeebelle
iminshock,GovWalker
SouthsideZorro,briansikma
Jeff_Cota,GovWalker
BobEwoldt,iminshock
BobEwoldt,jack2john
SouthsideZorro,gjzielinski
JakeMillerWis,ppppolls
JakeMillerWis,BenjaminSparks
cr8f,WeRWisconsin
peacemanjack,WeRWisconsin
nomorespend,Bencjacobs
Catballou,MilwaukeeCP
kap_n,govwalker
WI4Perry,GovWalker
StandUpWis,GovWalker
SouthsideZorro,VickiMcKenna
SouthsideZorro,VickiMcKenna
SouthsideZorro,turnsc
SouthsideZorro,RebeccaforReal
StandUpWis,GovWalker
StandUpWis,GovWalker
SouthsideZorro,VickiMcKenna
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
BfloBEAST,GovWalker
AndySuchorski,WI4Falk
SouthsideZorro,RebeccaforReal
SouthsideZorro,GovWalker
SouthsideZorro,mediatrackers
Jeff_Cota,FalkforWI
SouthsideZorro,mediatrackers
JakeMillerWis,js_newswatch
UnitedWisconsin,GovWalker
GemmaC_WI,wijim500
StandUpWis,GovWalker
GemmaC_WI,FoxNews
GemmaC_WI,FalkforWI
GemmaC_WI,Barrett4WI
GemmaC_WI,WisDems
guntotingteabag,PeterWBarca
guntotingteabag,JulieMLassa
guntotingteabag,gjzielinski
guntotingteabag,MahlonMitchell
guntotingteabag,keldahelenroys
guntotingteabag,ChrisJLarson
guntotingteabag,sentaylor
rodgers_jeff,cr8f
guntotingteabag,WI4Falk
lluttig,spsenski
rodgers_jeff,gjzielinski
rodgers_jeff,AKuhryLarsen
rodgers_jeff,PurrpleCatMama
rodgers_jeff,PurrpleCatMama
rodgers_jeff,PurrpleCatMama
BenjaminSparks,WisDems
FalkforWI,MaxwellJohnLove
JakeMillerWis,Wi_Fwd
welikedeer,MadPolitics
Tamra4Senate,LehmanForSenate
Tamra4Senate,Lehmanforsenate
SouthsideZorro,GovWalker
nolesfan2011,jmartin4s
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
paellacook,Progress2day
SouthsideZorro,mediatrackers
OrwellGhost,Wi_Fwd
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
SouthsideZorro,Tamra4Senate
SouthsideZorro,mediatrackers
StandUpWis,GovWalker
StandUpWis,GovWalker
SouthsideZorro,VickiMcKenna
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
matthewhurtt,GovWalker
SouthsideZorro,VickiMcKenna
SouthsideZorro,RebeccaforReal
nomorespend,MahlonMitchell
lakemillsright,LizSchmidt3
blueoysterdvp,Librariandevs
SouthsideZorro,wigazette
SouthsideZorro,GovWalker
SouthsideZorro,Cog_Dis
SouthsideZorro,Cog_Dis
SouthsideZorro,mediatrackers
SouthsideZorro,mediatrackers
SouthsideZorro,GovWalker
SouthsideZorro,mediatrackers
ejkirkstein,UnitedWisconsin
paellacook,bluecheddar1
kcargal,Shelbs_Brooke
JakeMillerWis,UnitedWisconsin
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
mellconklin,Cog_Dis
pamelakae,bluecheddar1
paellacook,bluecheddar1
sticklerdan,nickharteau
Crewof42,earlingram
SouthsideZorro,GovWalker
jer45,maddow
madturtle65,BrownDeerRepub
FalkforWI,RoshniNedungadi's
SouthsideZorro,GovWalker
Jack2John,Govwalker̢
SouthsideZorro,GovWalker
paellacook,amprog
jmk08,JKWileman5
nolesfan2011,legaleagle
nolesfan2011,legaleagle
BobEwoldt,kimberlealockwo
james_bkelly,RebeccaforReal
jdahlberg1,legaleagle
nomorespend,Tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
nomorespend,tammybaldwinwi
the_awesomeness,GovWalker
SouthsideZorro,VickiMcKenna
SpudLovr,SouthsideZorro
SouthsideZorro,VickiMcKenna
StevenSchuster,stevewisdems
SouthsideZorro,VickiMcKenna
HeatherRayne,danieltosh
SouthsideZorro,GovWalker
SouthsideZorro,GovWalker
SouthsideZorro,RebeccaforReal
nomorespend,unkybunky
SouthsideZorro,briansikma
nomorespend,unkybunky
SouthsideZorro,NewsHub
SouthsideZorro,mediatrackers
SouthsideZorro,GovWalker
SouthsideZorro,gjzielinski
SouthsideZorro,PPAWI
james_bkelly,ScottKWalker
OrwellGhost,legaleagle
SouthsideZorro,GovWalker
Ichairlady,MMFlint
Bobacheck,WiscJobsNow
OrwellGhost,GregPacknett
rodgers_jeff,gjzielinski
